Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Pop growth rate
"Poland",24824013,25383633,25919296,26417754,26871945,27280997,27650608,27992667,28324111,28665037,29033001,29436954,29871931,30316767,30740557,31121621,31453366,31744824,32008949,32265420,32529022,32803069,33084382,33373543,33669650,33971911,34279654,34593234,34913558,35241738,35577214,35921102,36269149,36608819,36923674,37201804,37438003,37634787,37797656,37935815,38056174,38160714,38247716,38316289,38364540,38391778,38398942,38389116,38366420,38336047,38302444,38266810,38230497,38198151,38175134,38165040,38170330,38189762,38218462,38249228,38276660,38298949,38317090,38331803,0.54414207727010133
"Portugal",8416969,8432070,8475340,8534730,8600563,8665530,8724773,8775803,8818242,8853393,8882954,8907640,8925989,8933839,8925792,8899506,8851326,8786529,8722574,8682998,8684237,8732165,8820645,8939024,9070905,9203339,9333952,9463583,9586166,9695175,9785924,9855958,9905701,9937389,9955005,9962255,9958747,9945601,9930001,9921120,9925477,9946333,9982069,10028171,10077548,10124943,10169044,10211281,10252334,10293668,10336209,10379756,10423256,10465808,10506253,10543663,10577630,10608036,10634612,10657175,10675572,10689663,10699333,10704534,0.27178013843225513
"Puerto Rico",2218000,2210078,2212854,2222120,2234847,2249173,2264475,2281304,2301194,2326357,2358747,2399064,2445883,2495284,2541906,2582056,2614035,2639363,2661527,2685678,2715540,2751922,2793569,2839615,2888504,2938911,2990868,3044298,3097569,3148633,3196011,3239084,3278156,3313869,3347316,3379401,3409992,3439048,3467679,3497297,3528815,3562523,3597861,3633785,3668794,3701618,3732293,3760658,3785040,3803374,3814353,3817231,3812847,3803480,3792373,3781986,3773097,3765404,3758981,3753576,3749009,3745526,3743380,3742334,0.68725608656447257
"Qatar",24998,27461,29819,31995,33966,35767,37490,39281,41336,43871,47085,51093,55883,61296,67082,73073,79189,85530,92319,99873,108401,118210,129227,140846,152210,162835,172151,180656,190192,203285,221594,245740,274720,306542,338365,368006,395144,420058,441932,459949,473722,482926,488204,491420,495126,501371,512422,528787,548828,569870,590957,608057,624173,653500,715146,820986,978336,1178192,1396060,1597765,1758793,1870041,1938754,1976840,78.079926394111524
"Reunion",248111,259237,268374,276361,283870,291400,299276,307653,316535,325805,335329,345051,355087,365765,377511,390531,405103,420870,436627,450746,462096,470253,475664,479160,481993,485134,488763,492757,497428,503071,509883,518099,527682,538195,549000,559640,569940,580048,590203,600780,612034,624006,636547,649488,662590,675664,688660,701577,714327,726817,738984,750771,762178,773264,784124,794833,805399,815803,826048,836137,846068,855849,865479,874944,2.5264216419263961
"Romania",16310998,16607889,16856828,17077384,17284001,17485998,17687296,17886689,18078643,18254608,18407002,18533445,18640463,18745088,18870340,19031999,19237491,19480203,19744551,20007565,20252540,20473447,20674980,20863942,21051489,21245107,21447200,21652976,21854285,22039699,22201389,22333737,22439782,22530615,22622239,22724837,22845000,22975571,23096515,23179894,23206719,23169554,23077600,22948987,22810195,22680954,22567385,22465454,22372555,22282690,22191683,22100007,22010781,21925307,21845264,21771749,21705175,21644886,21589544,21537219,21486371,21436495,21387517,21338815,0.30824704901563971
"Russia",102702461,104248118,105950299,107743349,109574025,111401500,113197858,114947600,116646132,118297268,119905701,121468992,122970547,124376611,125644787,126749106,127674585,128441372,129102954,129734240,130391798,131095450,131838010,132616141,133417243,134232512,135063873,135919205,136801278,137713118,138655363,139619492,140598335,141593874,142609801,143642108,144695549,145748948,146740928,147591465,148243501,148673813,148897737,148945559,148866314,148698582,148456965,148139274,147749214,147286725,146757517,146161742,145519641,144880469,144306982,143843159,143510059,143294533,143163100,143064078,142958164,142835555,142703181,142557892,0.38806695196914509
"Rwanda",2072195,2128012,2187504,2250407,2316489,2385553,2457436,2532004,2609162,2688844,2771018,2855692,2942908,3032745,3125315,3220770,3319229,3420890,3526088,3635227,3748672,3866501,3988895,4116446,4249861,4389619,4536057,4688997,4847747,5011299,5178927,5343129,5502531,5669024,5859270,6080907,6356230,6672124,6959599,7124870,7109538,6871192,6452688,5984449,5648306,5570206,5803830,6297733,6944116,7582861,8098344,8456968,8696378,8857859,9009655,9201727,9441406,9710531,10004092,10311275,10624005,10942950,11271786,11608439,4.6020012595339725
"Saint Helena",4972,5005,5009,4992,4963,4928,4890,4852,4814,4776,4738,4700,4665,4639,4629,4639,4671,4725,4791,4865,4937,5008,5078,5144,5203,5253,5291,5317,5339,5364,5399,5446,5500,5556,5602,5631,5640,5633,5611,5578,5537,5488,5430,5370,5312,5261,5220,5187,5155,5115,5059,4986,4901,4805,4702,4598,4493,4388,4288,4197,4118,4055,4005,3970,-0.20152855993563956
"Saint Kitts and Nevis",46054,46147,46509,47068,47756,48511,49268,49968,50556,50980,51201,51196,50965,50530,49930,49207,48351,47380,46398,45537,44887,44498,44339,44328,44342,44289,44146,43939,43685,43422,43174,42952,42746,42538,42298,42015,41674,41296,40955,40745,40731,40941,41349,41899,42511,43121,43714,44302,44888,45479,46083,46695,47307,47923,48543,49173,49811,50455,51102,51752,52402,53051,53697,54338,0.17987579797628861
"Saint Lucia",82783,83898,84828,85605,86266,86851,87403,87968,88594,89330,90213,91264,92480,93830,95264,96738,98263,99834,101385,102825,104101,105169,106064,106905,107857,109038,110501,112203,114053,115915,117691,119337,120897,122463,124172,126116,128336,130776,133315,135777,138042,140056,141863,143551,145255,147067,149022,151079,153172,155204,157108,158859,160491,162055,163631,165275,167002,168793,170624,172458,174267,176044,177794,179515,1.1685007791454769
"Saint Vincent and the Grenadines",67000,68065,69265,70587,72014,73520,75073,76636,78165,79614,80948,82144,83207,84167,85076,85973,86863,87741,88623,89527,90465,91445,92463,93507,94556,95591,96609,97611,98590,99539,100450,101316,102135,102915,103669,104402,105123,105819,106465,107016,107449,107755,107950,108051,108089,108087,108049,107979,107907,107869,107891,107987,108150,108354,108566,108755,108918,109060,109178,109269,109333,109365,109367,109354,0.63214925373134334
"Saint-Pierre-et-Miquelon",4573,4605,4634,4663,4693,4726,4763,4803,4843,4883,4919,4951,4981,5011,5049,5095,5152,5218,5291,5372,5457,5548,5644,5736,5817,5883,5929,5957,5973,5985,5999,6015,6033,6054,6079,6107,6141,6179,6218,6253,6279,6296,6304,6305,6303,6301,6300,6297,6293,6285,6270,6249,6223,6194,6164,6137,6112,6090,6072,6057,6046,6041,6039,6042,0.32123332604417221
"Samoa",82102,84177,86410,88813,91390,94141,97054,100114,103296,106574,109917,113300,116702,120115,123530,126931,130320,133661,136856,139783,142354,144528,146330,147835,149155,150373,151524,152593,153557,154371,155016,155488,155831,156122,156459,156919,157531,158290,159187,160198,161308,162504,163790,165172,166662,168257,169969,171766,173543,175169,176549,177645,178488,179141,179699,180237,180766,181277,181809,182401,183081,183874,184772,185727,1.2621495213271299
"San Marino",12781,12919,13089,13288,13515,13767,14044,14344,14670,15019,15392,15786,16196,16615,17032,17439,17838,18227,18588,18895,19136,19299,19395,19465,19565,19734,19988,20313,20683,21054,21398,21707,21990,22255,22515,22776,23041,23304,23571,23847,24134,24442,24769,25098,25406,25678,25897,26077,26271,26551,26967,27543,28251,29013,29722,30301,30721,31007,31198,31359,31534,31735,31945,32156,1.5159220718253659
"Sao Tome and Principe",60000,59147,58460,58114,58213,58776,59747,60991,62310,63465,64251,64564,64474,64246,64265,64803,65962,67637,69646,71709,73630,75334,76896,78435,80137,82124,84449,87038,89740,92340,94688,96721,98502,100162,101899,103852,106067,108493,111050,113620,116117,118512,120835,123137,125488,127935,130499,133152,135838,138475,141010,143430,145761,148038,150311,152622,154970,157361,159852,162515,165397,168526,171878,175383,1.92305
"Saudi Arabia",3121337,3194590,3274903,3359455,3446429,3535014,3625448,3718978,3817701,3924325,4041422,4170636,4311990,4463589,4622460,4787033,4957637,5137042,5329207,5539331,5771846,6028687,6311207,6622572,6966138,7344638,7756072,8200523,8684651,9217019,9801475,10440852,11126570,11836762,12542098,13220479,13862213,14469298,15045709,15600314,16139053,16669764,17189075,17679720,18117969,18491845,18786467,19020639,19256649,19578923,20045276,20681576,21463072,22334371,23213767,24041116,24799436,25504176,26166639,26809105,27448086,28082541,28705133,29319402,8.3932189955778558
"Senegal",2416264,2463892,2513702,2566574,2623159,2683866,2748861,2818072,2891230,2967928,3047804,3130743,3217043,3307493,3403161,3504782,3612246,3725151,3843517,3967316,4096245,4231030,4370991,4512774,4651922,4785536,4912200,5033645,5154054,5279383,5414070,5559400,5714508,5879044,6051962,6232395,6420323,6615896,6818495,7027320,7241573,7461567,7686866,7915080,8143140,8369125,8591861,8812695,9035367,9265135,9505862,9758841,10023194,10297956,10581316,10871908,11169549,11474661,11787123,12106865,12433728,12767556,13107945,13454191,4.568179222137978
"Serbia",6732256,6839783,6942216,7039281,7130885,7217120,7298269,7374796,7447327,7516595,7583324,7648077,7711142,7772481,7831873,7889351,7944927,7999327,8054147,8111427,8172645,8238178,8307669,8380884,8457297,8536301,8618095,8702227,8786614,8868545,8946077,9019281,9088833,9154306,9215339,9272302,9322048,9365835,9413538,9478469,9568744,9689735,9834717,9984888,10114158,10203932,10248363,10253548,10227702,10184152,10133561,10076784,10013058,9949713,9895409,9856152,9835841,9832994,9841360,9851440,9856222,9853969,9846582,9835010,0.46087879011136823
"Seychelles",36322,36891,37451,37978,38459,38899,39312,39731,40195,40752,41443,42290,43280,44363,45469,46544,47566,48554,49535,50560,51659,52841,54087,55357,56605,57791,58906,59958,60952,61897,62807,63677,64505,65310,66107,66914,67737,68572,69411,70234,71031,71800,72549,73285,74016,74755,75494,76235,76999,77810,78685,79634,80640,81660,82631,83513,84291,84975,85568,86079,86518,86879,87169,87417,1.4067231980617807
"Sierra Leone",1895409,1920612,1946495,1973170,2000723,2029230,2058740,2089284,2120880,2153530,2187240,2222029,2257946,2295070,2333500,2373308,2414620,2457448,2501620,2546888,2593123,2640264,2688527,2738398,2790525,2845392,2903199,2963880,3027332,3093342,3161751,3230990,3300789,3373661,3453115,3540728,3639732,3746944,3849915,3931817,3981567,3995290,3979553,3946835,3915066,3898363,3898177,3913681,3953705,4028260,4143115,4303850,4505515,4730020,4952134,5153435,5327364,5478289,5612129,5739293,5867536,5997486,6126450,6255163,2.3001652941396817
"Singapore",1022098,1067968,1120282,1178077,1240283,1305726,1373111,1441037,1508042,1572672,1633694,1690329,1742448,1790662,1836072,1879561,1921095,1960551,1998650,2036291,2074099,2112908,2152644,2191970,2228945,2262444,2291674,2317849,2344275,2375464,2414563,2463269,2520493,2583219,2646959,2708638,2766830,2823012,2880470,2943941,3016624,3099465,3190692,3287420,3385486,3481674,3576537,3670693,3761263,3844693,3919300,3980956,4032217,4086050,4160158,4265999,4409955,4584894,4772216,4945645,5086418,5187933,5256278,5300914,4.1863069881753034
"Slovak Republic",3436574,3494399,3558070,3625562,3695133,3765317,3834942,3903115,3969202,4032799,4093623,4151408,4205808,4256354,4302571,4344322,4381278,4414055,4444651,4475755,4509366,4546043,4585443,4627506,4671864,4718093,4766402,4816543,4867021,4915864,4961607,5003672,5042276,5077753,5110779,5141880,5170942,5197804,5222922,5246884,5270072,5292792,5314849,5335519,5353767,5368894,5380807,5389895,5396548,5401350,5404845,5407045,5408162,5409182,5411339,5415496,5422122,5430974,5441304,5451968,5462119,5471502,5480332,5488775,0.59716479261031474
"Slovenia",1473094,1485208,1497673,1509949,1521658,1532598,1542741,1552231,1561352,1570492,1580010,1590097,1600656,1611254,1621265,1630299,1638169,1645201,1652157,1660081,1669731,1681246,1694389,1709055,1725015,1742004,1760125,1779184,1798248,1816102,1831881,1845186,1856261,1865704,1874446,1883179,1892015,1900766,1909475,1918131,1926701,1935302,1943919,1952220,1959752,1966205,1971488,1975755,1979261,1982378,1985406,1988385,1991319,1994426,1997959,2002084,2006903,2012345,2018172,2024040,2029680,2035012,2040057,2044766,0.38807571003615515
"Solomon Islands",106647,107978,109424,110989,112677,114495,116446,118537,120775,123166,126363,129642,133007,136459,140000,143000,147000,151000,154000,158000,160256,166067,172319,178926,185758,192719,199775,206940,214224,221651,229235,236984,244877,252860,260869,268862,276815,284761,292787,301012,309527,318371,327529,336960,346599,356404,366363,376511,386906,397627,408732,420232,432107,444344,456919,469805,483000,496490,510221,524125,538148,552267,566481,580791,4.44591971644772
"Somalia",2264081,2313526,2363736,2415015,2467617,2521750,2577566,2635172,2694628,2755972,2819246,2884550,2952068,3022091,3094969,3170982,3254907,3347825,3442418,3528415,3601206,3646798,3673532,3725116,3860931,4117971,4521026,5042594,5603598,6093765,6435589,6597719,6608106,6521168,6419685,6363791,6372348,6426592,6504572,6570210,6599249,6585079,6543380,6498410,6484228,6524697,6628554,6786636,6982940,7193120,7399033,7596920,7791254,7981955,8170899,8359859,8547497,8733493,8922260,9119848,9330872,9556873,9797445,10052842,3.4401423800650246
"South Africa",13683162,13993912,14322458,14665211,15019719,15384665,15759932,16146536,16546450,16962304,17396477,17850139,18322409,18809986,19308185,19813932,20325179,20843695,21374801,21926000,22502306,23106584,23736249,24384286,25040691,25698624,26353940,27009603,27674353,28360792,29077186,29828924,30611185,31409842,32204995,32983394,33734360,34464223,35196881,35966236,36793907,37690924,38641823,39609488,40542036,41402400,42175740,42873355,43516225,44137342,44760380,45389577,46015405,46631364,47226670,47792787,48330914,48842462,49319363,49751503,50132817,50459978,50738255,50981076,2.725825653456416
"South Sudan",1880222,1919582,1961925,2006745,2053619,2102215,2152290,2203691,2256344,2310256,2365478,2422089,2480164,2539771,2600994,2664019,2728851,2795865,2866074,2940782,3020949,3107019,3198874,3296208,3398449,3505168,3615772,3730284,3849541,3974741,4106390,4245451,4390699,4537851,4681151,4816725,4942648,5060777,5175686,5294006,5420563,5556767,5701228,5852564,6008344,6166715,6327927,6492553,6659415,6827051,6994624,7161267,7327782,7497047,7673043,7858543,8054628,8260226,8473315,8940854,9415421,9897118,10386101,10881979,4.7876032723795383
"Spain",28069737,28236442,28427994,28637153,28858741,29089637,29328890,29577608,29838623,30115936,30413044,30731163,31067664,31415410,31764645,32108561,32443113,32770565,33098047,33436107,33791761,34165661,34553119,34949102,35346395,35738587,36124485,36501995,36862658,37196233,37495321,37757496,37984198,38177151,38339878,38476148,38586351,38673057,38745231,38814280,38889158,38979222,39086335,39203352,39318577,39426834,39519508,39608652,39734033,39948910,40288457,40767010,41364726,42039800,42732092,43395441,44017887,44604384,45146258,45638113,46076989,46454895,46771596,47042602,0.67591887305534781
"Sri Lanka",8240623,8362125,8495641,8642543,8803521,8978595,9167067,9367565,9578146,9796484,10020405,10248471,10480484,10717705,10962237,11215216,11477133,11746217,12018646,12289319,12554583,12812407,13063663,13311145,13559172,13810647,14066703,14325640,14584167,14837618,15082771,15317817,15544043,15765034,15986020,16210466,16439169,16669911,16899425,17123045,17337048,17542866,17740936,17925624,18089720,18229498,18340596,18428257,18510095,18610110,18745084,18921794,19134096,19369853,19610604,19842536,20062070,20272269,20473799,20669142,20859949,21045394,21223550,21393876,1.5961478883332
"Sudan",7309769,7462786,7627408,7801653,7983886,8172814,8367493,8567322,8772025,8981616,9196306,9416392,9642172,9873906,10111923,10356949,10608998,10869525,11142482,11432923,11744590,12079205,12436311,12814718,13212203,13627096,14057092,14502283,14965920,15452659,15964476,16505106,17069788,17641875,18198981,18726053,19215610,19674861,20121591,20581590,21073606,21603126,22164751,22753100,23358732,23974432,24601180,25241197,25889911,26541630,27193105,27840967,28488328,29146386,29830604,30551777,31314098,32113409,32941836,33537455,34136520,34735288,35335982,35940905,3.916831845165011
"Suriname",214999,222649,229598,236273,243001,250004,257399,265202,273335,281654,290000,298272,306474,314747,323298,332197,341643,351379,360486,367733,372297,373795,372648,369834,366767,364497,363386,363227,363818,364751,365749,366770,368027,369782,372398,376102,381012,386974,393605,400375,406890,413011,418828,424455,430102,435920,441896,447957,454124,460419,466846,473431,480132,486800,493236,499294,504913,510136,515066,519861,524636,529419,534175,538882,1.5064395648351852
"Swaziland",273000,278951,285333,292178,299488,307229,315335,323710,332228,340755,349181,357459,365645,373904,382477,391553,401184,411365,422152,433598,445735,458611,472236,486560,501509,517024,533202,550089,567534,585327,603385,621346,639383,658564,680341,705602,734925,767579,801540,833994,862947,887467,908158,926420,944404,963591,984632,1006824,1028708,1048174,1063832,1075083,1082777,1088724,1095487,1104909,1117604,1133007,1150344,1168345,1186056,1203330,1220408,1237166,3.5317435897435896
"Sweden",7014001,7076003,7129070,7176203,7219871,7261994,7303942,7346541,7390134,7434674,7480001,7526139,7573556,7623278,7676568,7734003,7796427,7862718,7929066,7990318,8042839,8084965,8117863,8144217,8168135,8192569,8218933,8246302,8272581,8294604,8310467,8319266,8322909,8325682,8333446,8350392,8377422,8413155,8456561,8505752,8558829,8616729,8678657,8738894,8789976,8826949,8847421,8853934,8852650,8852487,8860153,8877022,8901831,8935392,8977965,9029345,9090707,9161374,9236872,9311110,9379687,9440747,9495392,9545823,0.36096687183249609
"Switzerland",4668088,4726281,4788955,4851983,4912879,4970798,5026644,5082961,5143629,5213340,5296052,5393334,5502915,5618068,5729362,5829839,5916770,5991515,6056165,6114502,6169124,6221393,6269871,6311231,6340818,6355947,6355012,6340979,6321339,6306326,6303346,6315530,6341096,6376512,6415987,6455375,6493102,6530777,6571061,6617925,6673738,6740104,6814701,6891266,6961228,7018702,7060963,7090483,7112948,7136740,7167908,7207987,7254975,7307078,7361231,7415007,7468350,7521613,7573204,7621211,7664318,7701690,7733709,7761820,0.66274071954084834
"Syria",3413330,3496671,3587333,3685409,3790891,3903672,4023540,4150185,4283219,4422215,4566822,4716875,4872506,5034188,5202606,5378287,5561371,5751807,5949690,6155081,6368017,6588936,6817940,7054361,7297254,7546139,7800152,8059995,8328592,8609920,8906543,9219690,9547693,9886629,10230958,10576592,10921760,11267240,11614542,11966274,12324116,12690183,13063423,13438799,13809349,14171130,14518843,14856464,15200324,15572833,15988534,16454926,16962918,17490104,18004797,18484122,18920727,19321300,19694259,20053743,20410606,20766037,21117690,21468962,5.2897411032627959
"Taiwan",7981000,8251000,8550000,8850000,9160000,9486000,9825000,10164000,10500000,10853000,11209000,11563000,11919000,12277000,12631000,12978000,13321000,13649000,13962000,14282000,14598000,14918000,15226000,15526000,15824000,16122000,16450000,16785000,17112000,17450000,17848000,18177000,18501000,18803000,19083000,19337000,19556000,19758000,19976000,20208000,20278000,20492000,20687000,20886000,21093000,21290000,21458000,21639000,21834000,22008000,22183000,22336000,22451000,22543000,22622000,22701000,22782000,22859000,22921000,22974000,23025000,23072000,23114000,23151000,1.9007643152487157
"Tajikistan",1531502,1577037,1626400,1677745,1729928,1782503,1835763,1890702,1948890,2012262,2082499,2160358,2245098,2334221,2424189,2512493,2598074,2681780,2765317,2851284,2941501,3036693,3136061,3238090,3340561,3441990,3541938,3641296,3741547,3844809,3952691,4064671,4180321,4301334,4429847,4566786,4713454,4867754,5023022,5170285,5303152,5418785,5519021,5607922,5691845,5775404,5860334,5945181,6027676,6104268,6172807,6232587,6285809,6336724,6391120,6453240,6524634,6604426,6691416,6783390,6878637,6976958,7078755,7183529,3.6905123205846291
"Tanzania",7649766,7847333,8055939,8274761,8503222,8740991,8987990,9244386,9510560,9787066,10074485,10373274,10683638,11005471,11338515,11682835,12038154,12405300,12786751,13185749,13604523,14044480,14504837,14982938,15474884,15977990,16491445,17016577,17555450,18111097,18685789,19281182,19897071,20531760,21182600,21848290,22525148,23215060,23928658,24680404,25478979,26331511,27230502,28152305,29064223,29943732,30783155,31592450,32388671,33197305,34038161,34917073,35832494,36788281,37786946,38831024,39923609,41068185,42267667,43524738,44841226,46218486,47656367,49153002,5.4254255620368
"Thailand",20607323,21150234,21718195,22312977,22936039,23588546,24271352,24985010,25729780,26505650,27312399,28149653,29016942,29913729,30839333,31792743,32771644,33774026,34799247,35846930,36915397,38004462,39109571,40219377,41319380,42398941,43453204,44483729,45494423,46492281,47482643,48460289,49422519,50379788,51346204,52328663,53339762,54368583,55370526,56284973,57072058,57711519,58225969,58671177,59126690,59650157,60258113,60933752,61660383,62408639,63155029,63898879,64642931,65370277,66060383,66698483,67276383,67796451,68267982,68706122,69122234,69518555,69892142,70243267,2.4086556026709536
"Timor-Leste",433398,438379,443630,449210,455164,461526,468314,475533,483177,491231,499676,508499,517698,527284,537278,547681,558110,568440,579184,591068,604382,620126,637590,653351,662785,662962,652072,632134,608743,589744,580707,583764,597067,617347,639513,659846,677073,692306,706986,723453,743145,767267,794561,821141,841687,852817,852280,842341,829617,823386,830089,852522,888099,931324,974024,1010367,1038572,1060770,1079749,1099887,1124355,1153834,1187194,1223665,1.8234209664096279
"Togo",1395458,1426130,1442950,1453288,1462655,1474705,1491145,1511826,1535016,1557851,1577708,1593657,1607735,1625493,1654451,1699541,1763332,1843004,1931480,2018669,2097273,2165335,2225052,2278418,2328971,2379649,2430120,2480291,2533721,2594914,2666921,2751151,2846305,2949279,3055479,3161327,3266857,3372562,3475964,3574135,3665509,3747750,3822591,3897510,3982804,4085492,4208738,4349349,4500173,4650754,4793504,4926142,5050919,5170252,5288273,5408044,5529908,5652811,5776837,5901859,6027798,6154813,6283092,6412560,3.5953084936988429
"Tokelau",1570,1516,1504,1522,1560,1610,1666,1723,1778,1828,1873,1910,1938,1951,1948,1924,1878,1813,1738,1670,1618,1587,1574,1574,1577,1575,1567,1556,1545,1543,1554,1581,1619,1661,1694,1713,1712,1696,1669,1637,1609,1583,1558,1538,1524,1520,1529,1548,1566,1571,1552,1504,1432,1349,1271,1210,1170,1148,1139,1136,1135,1134,1136,1141,-0.27324840764331215
"Tonga",47220,49311,51173,52785,54156,55326,56368,57387,58510,59875,61601,63741,66257,69001,71758,74364,76787,79049,81096,82879,84369,85518,86347,86982,87606,88343,89252,90290,91354,92292,92999,93443,93673,93766,93829,93944,94139,94392,94674,94938,95150,95305,95426,95541,95691,95907,96196,96551,96966,97431,97935,98476,99053,99659,100286,100926,101584,102254,102910,103519,104058,104509,104891,105265,1.2292460821685727
"Trinidad and Tobago",635999,647638,661131,677445,697015,719735,744934,771405,797503,821324,841210,856289,866959,875083,883421,893922,907340,922942,939413,954771,967658,977679,985548,992348,999650,1008617,1019403,1031694,1045600,1061140,1078200,1097067,1117461,1138006,1156858,1172735,1185012,1194138,1201224,1207942,1215494,1224233,1233753,1243590,1253000,1261443,1268851,1275460,1281396,1286871,1292058,1296962,1301576,1306065,1310622,1315386,1320418,1325672,1331040,1336349,1341465,1346350,1350999,1355342,1.1310442312016216
"Tunisia",3529608,3596387,3661847,3727072,3792913,3860000,3928722,3999242,4071527,4145402,4220701,4297441,4375959,4456986,4541457,4630000,4723497,4821782,4923201,5025402,5127001,5226965,5326668,5430023,5542400,5667516,5806713,5958456,6120018,6287287,6457092,6628154,6800734,6974955,7151430,7330267,7511099,7692463,7872065,8047027,8215111,8375587,8528401,8672916,8808669,8935523,9053410,9162870,9265266,9362447,9456117,9546453,9634180,9722180,9814009,9912114,10017832,10130368,10247325,10365089,10480934,10594057,10704948,10813680,2.0637056579654169
"Turkey",21238496,21863880,22519048,23195322,23885803,24585366,25290730,26000394,26714409,27434022,28160579,28894367,29633591,30373939,31109820,31837999,32556294,33267998,33982141,34711167,35464196,36245756,37054168,37884870,38730367,39585821,40446729,41316297,42206204,43132612,44105216,45130008,46198027,47285732,48360679,49399630,50393538,51349154,52278499,53200802,54130268,55068880,56012109,56959988,57911273,58864649,59821978,60783217,61742674,62692616,63627862,64544914,65446165,66339433,67235927,68143186,69063538,69992754,70923730,71846212,72752325,73639596,74508771,75359032,2.5482282737911386
"Turkmenistan",1211000,1228378,1252660,1282584,1317126,1355501,1397172,1441843,1489418,1539955,1593501,1649914,1708711,1769008,1829697,1890000,1949425,2008148,2066889,2126749,2188499,2252386,2318070,2385039,2452528,2520002,2587417,2655036,2723006,2791575,2861000,2931343,3002785,3075867,3151262,3229499,3310059,3392823,3479088,3570558,3668000,3772350,3881973,3991917,4095512,4188010,4267690,4335991,4395293,4449427,4501419,4551737,4600093,4647912,4696771,4747839,4801847,4858843,4918396,4979672,5041995,5105301,5169660,5234640,3.3225763831544182
"Turks and Caicos Islands",5047,4984,4977,5016,5094,5198,5318,5442,5558,5656,5724,5760,5762,5741,5705,5669,5629,5589,5563,5573,5632,5750,5924,6132,6346,6546,6723,6886,7057,7262,7525,7855,8244,8670,9096,9501,9872,10222,10587,11018,11549,12216,13005,13848,14644,15333,15859,16275,16763,17573,18873,20728,23044,25625,28191,30531,32590,34404,35960,37271,38354,39184,39761,40159,6.9570041608876556
"Tuvalu",5166,5221,5294,5378,5468,5562,5658,5758,5863,5978,6104,6242,6391,6542,6687,6819,6935,7037,7128,7213,7296,7379,7459,7538,7613,7685,7752,7816,7883,7959,8051,8160,8284,8413,8537,8648,8741,8821,8889,8949,9004,9056,9103,9148,9188,9227,9264,9298,9334,9374,9419,9471,9530,9590,9646,9694,9732,9762,9786,9806,9827,9847,9867,9888,0.91405342624854824
"Uganda",5158193,5306689,5453244,5599541,5747415,5898851,6056012,6221214,6396841,6585220,6788219,7006823,7240764,7488366,7746988,8014352,8290837,8576166,8866641,9157569,9445932,9730174,10012125,10296444,10589763,10897136,11221247,11561734,11917048,12284315,12662131,13049012,13447769,13866291,14315090,14801113,15327718,15891143,16482365,17088426,17699717,18314701,18935726,19561967,20193432,20831075,21473592,22123185,22788843,23482533,24213120,24984181,25794397,26641627,27521632,28431204,29370251,30339895,31339392,32367909,33424683,34509205,35620977,36759274,6.1263859262342448
"Ukraine",37297652,37847653,38410561,38977440,39541651,40098857,40647142,41186890,41720423,42251401,42783010,43316039,43847188,44368350,44868657,45340503,45779461,46187918,46573376,46947038,47316501,47685533,48050256,48401549,48726373,49015998,49266997,49484239,49677426,49860466,50043550,50227328,50408687,50589152,50769702,50949364,51128208,51301215,51455595,51574638,51644914,51666114,51637719,51546666,51377434,51121722,50773323,50342838,49860125,49366106,48891792,48448267,48032368,47643278,47275250,46923927,46591797,46282158,45991584,45715010,45448329,45190180,44940268,44696741,0.19837948512147618
"United Arab Emirates",69589,67816,69504,72700,76008,78599,80233,81232,82405,84913,89871,97936,108927,121678,134478,146387,156934,167420,180858,201308,231754,272529,322868,383152,453530,533554,624390,724684,828378,927412,1016228,1092153,1157336,1217021,1279010,1349000,1428788,1516782,1611257,1709232,1808642,1909812,2014095,2121704,2232980,2348539,2473983,2611610,2755497,2897038,3033491,3149440,3254691,3400959,3658042,4069349,4662728,5405541,6206623,6938815,7511690,7890924,8105873,8207940,116.94881374929946
"United Kingdom",50616012,50631571,50706811,50829901,50991454,51184529,51404774,51650279,51921175,52218942,52544356,52895303,53264855,53640457,54006245,54349899,54666008,54954044,55212835,55443064,55645390,55819499,55964697,56081455,56170690,56234250,56273041,56290629,56295032,56296406,56303011,56317534,56341308,56379327,56436762,56516908,56622956,56753658,56902081,57058173,57214474,57369629,57525459,57681639,57838596,57997210,58156871,58318771,58488026,58671413,58874117,59097129,59339971,59604347,59891788,60202727,60538143,60896101,61270318,61652315,62035570,62417431,62798099,63177406,0.24817036158439354
"United States",157813040,160024871,162530196,165260027,168152385,171152291,174211875,177290268,180353310,183373044,186326215,189192675,191953977,194592775,197094531,199452508,201657141,203717833,205672498,207573866,209463865,211355529,213250350,215164616,217113584,219108358,221161377,223274855,225436004,227624232,229825004,232035086,234261242,236510688,238794274,241119752,243495805,245920994,248381577,250857751,253339097,255807342,258275919,260803255,263468980,266323717,269393632,272643340,275986072,279300030,282496310,285544778,288467308,291290823,294063120,296820296,299564470,302284564,304989064,307686729,310383948,313085380,315791284,318497630,1.0181958981336399
