Reseller,Year Opened,Bank Name,Business Type,Year of First Order,Year of Last Order,Reseller Annual Sales,Reseller Phone,Number of Employees,Annual Revenue,Reseller Address,Reseller City,Reseller Country Code,Reseller Country,Reseller Zip Code,Reseller State Province,Reseller State Province Code,Minimum Payment Amt,Reseller Product Line,Reseller Order Frequency,Reseller Order Month,Reseller Sales Territory Country,Reseller Sales Territory Group,Reseller Sales Territory Region,Reseller Key
"Social Activities Club",1996,"International Security","Specialty Bike Shop",2011,2013,1500000,"596-555-0153",43,150000,"23025 S.W. Military Rd.","San Antonio","US","United States","78204","Texas","TX",600,"Road","A",5,"United States","North America","Southwest",471
"Quitting Business Distributors",1993,"International Bank","Specialty Bike Shop",2013,2013,1500000,"991-555-0148",49,150000,"University Plaza","Tampa","US","United States","33602","Florida","FL",600,"Touring","A",6,"United States","North America","Southeast",477
"Bicycle Accessories and Kits",1994,"Primary Bank & Reserve","Value Added Reseller",2012,2012,300000,"959-555-0151",9,30000,"Lewiston Mall","Lewiston","US","United States","83501","Idaho","ID",600,"Mountain","S",3,"United States","North America","Northwest",488
"Basic Sports Equipment",1992,"International Security","Specialty Bike Shop",2011,2013,1500000,"768-555-0125",44,150000,"3250 Baldwin Park Blvd","Baldwin Park","US","United States","91706","California","CA",600,"Mountain","A",5,"United States","North America","Southwest",492
"Metropolitan Sales and Rental",1980,"Guardian Bank","Value Added Reseller",2011,2013,300000,"440-555-0166",4,30000,"Granite State Marketplace","Hooksett","US","United States","03106","New Hampshire","NH",600,"Road","S",6,"United States","North America","Northeast",503
"Historic Bicycle Sales",1986,"Reserve Security","Specialty Bike Shop",2010,2011,1500000,"264-555-0143",40,150000,"Redford Plaza","Redford","US","United States","48239","Michigan","MI",600,"Mountain","A",4,"United States","North America","Central",504
"World Bike Discount Store",1983,"Guardian Bank","Specialty Bike Shop",2010,2013,1500000,"992-555-0111",38,150000,"3065 Santa Margarita Parkway","Trabuco Canyon","US","United States","92679","California","CA",600,"Road","A",1,"United States","North America","Southwest",510
"Mobile Outlet",1974,"Primary International","Value Added Reseller",2013,2013,800000,"538-555-0182",10,80000,"Walnut Hill Plaza","Woonsocket","US","United States","02895","Rhode Island","RI",600,"Road","S",8,"United States","North America","Northeast",521
"Cycles and Scooters",1982,"Reserve Security","Specialty Bike Shop",2011,2011,1500000,"249-555-0124",33,150000,"Peach Festival Outlet","Byron","US","United States","31008","Georgia","GA",600,"Road","A",6,"United States","North America","Southeast",525
"Friendly Neighborhood Bikes",2002,"United Security","Specialty Bike Shop",2012,2013,1000000,"963-555-0146",27,100000,"Johnson Creek","Johnson Creek","US","United States","53038","Wisconsin","WI",600,"Mountain","A",6,"United States","North America","Central",543
"Curbside Sporting Goods",1976,"International Bank","Specialty Bike Shop",,,800000,"535-555-0189",10,80000,"25871 North Main Street","Walnut Creek","US","United States","94596","California","CA",600,"Road","A",,"United States","North America","Southwest",547
"Retail Sales and Service",1998,"Primary Bank & Reserve","Value Added Reseller",2011,2013,800000,"607-555-0193",14,80000,"Lake Region Factory Outlet","Tilton","US","United States","03276","New Hampshire","NH",600,"Road","S",5,"United States","North America","Northeast",558
"Some Discount Store",2000,"Guardian Bank","Specialty Bike Shop",2011,2013,1000000,"158-555-0123",22,100000,"Frontier Mall","Cheyenne","US","United States","82001","Wyoming","WY",600,"Mountain","A",2,"United States","North America","Northwest",559
"Metallic Paint and Overcoat Co",1975,"Primary Bank & Reserve","Specialty Bike Shop",,,1000000,"911-555-0153",28,100000,"25751 University Drive","Vista","US","United States","92084","California","CA",600,"Road","A",,"United States","North America","Southwest",565
"The Bike Mechanics",1998,"International Security","Value Added Reseller",2011,2013,800000,"599-555-0127",16,80000,"Johnny Appleseed Shop.center","Mansfield","US","United States","44903","Ohio","OH",600,"Mountain","S",6,"United States","North America","Northeast",576
"Rural Sales and Service",1996,"Guardian Bank","Specialty Bike Shop",2011,2011,1500000,"190-555-0186",43,150000,"Management Mall","San Antonio","US","United States","78204","Texas","TX",600,"Road","A",6,"United States","North America","Southwest",580
"Black Bicycle Company",1987,"Primary International","Specialty Bike Shop",2012,2012,1500000,"441-555-0144",45,150000,"Factory Merchants","Branson","US","United States","65616","Missouri","MO",600,"Mountain","A",5,"United States","North America","Central",598
"Ultimate Bike Shop",1985,"Reserve Security","Warehouse",2011,2013,3000000,"242-555-0181",84,300000,"Foothills Mall","Maryville","US","United States","37801","Tennessee","TN",600,"Mountain","Q",6,"United States","North America","Southeast",602
"Good Toys",1988,"Reserve Security","Value Added Reseller",2012,2013,300000,"969-555-0117",5,30000,"99700 Bell Road","Auburn","US","United States","95603","California","CA",600,"Road","S",6,"United States","North America","Southwest",609
"Tires and Tubes",1976,"United Security","Warehouse",,,3000000,"482-555-0188",90,300000,"25708 Dell Range Blvd.","Cheyenne","US","United States","82001","Wyoming","WY",600,"Mountain","Q",,"United States","North America","Northwest",620
"First Cycle Store",1974,"International Bank","Value Added Reseller",2011,2013,300000,"454-555-0160",6,30000,"25250 N 90th St","Scottsdale","US","United States","85257","Arizona","AZ",600,"Road","S",6,"United States","North America","Southwest",624
"Major Sporting Goods",1980,"International Security","Specialty Bike Shop",2012,2012,1500000,"315-555-0131",36,150000,"9980 S Alma School Road","Chandler","US","United States","85225","Arizona","AZ",600,"Road","A",5,"United States","North America","Southwest",625
"Fitness Sport Boutique",1998,"Primary Bank & Reserve","Value Added Reseller",2012,2012,800000,"215-555-0197",18,80000,"Dansk Square","Kittery","US","United States","03904","Maine","ME",600,"Mountain","S",5,"United States","North America","Northeast",642
"Yellow Bicycle Company",2005,"International Security","Specialty Bike Shop",2010,2013,1000000,"470-555-0171",29,100000,"St. Louis Marketplace","Saint Louis","US","United States","63103","Missouri","MO",600,"Mountain","A",1,"United States","North America","Central",646
"Official Parts Shop",2000,"Primary International","Specialty Bike Shop",2011,2013,1000000,"942-555-0141",22,100000,"9905 Three Rivers Drive","Kelso","US","United States","98626","Washington","WA",600,"Road","A",4,"United States","North America","Northwest",668
"Bike Goods",2003,"Primary International","Warehouse",2011,2013,3000000,"698-555-0183",58,300000,"254075 Biscayne Blvd.","North Miami Beach","US","United States","33162","Florida","FL",600,"Road","Q",6,"United States","North America","Southeast",675
"Active Cycling",2002,"United Security","Warehouse",2012,2012,3000000,"362-555-0121",73,300000,"Indian Mound Mall","Heath","US","United States","43056","Ohio","OH",600,"Road","Q",3,"United States","North America","Northeast",690
"Brakes and Gears",1992,"United Security","Value Added Reseller",2011,2013,800000,"774-555-0133",12,80000,"9927 N. Main St.","Tooele","US","United States","84074","Utah","UT",600,"Mountain","S",5,"United States","North America","Northwest",697
"Tandem Bicycle Store",1990,"International Security","Warehouse",2012,2013,1500000,"488-555-0130",46,150000,"3333 Micro Drive","Millington","US","United States","38054","Tennessee","TN",1000,"Mountain","Q",5,"United States","North America","Southeast",9
"Healthy Activity Store",1999,"Reserve Security","Warehouse",,,3000000,"911-555-0165",79,300000,"4460 Newport Center Drive","Newport Beach","US","United States","92625","California","CA",1000,"Mountain","Q",,"United States","North America","Southwest",42
"Paint Supply",1976,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"358-555-0188",90,300000,"Corporate Office","Garland","US","United States","75040","Texas","TX",1000,"Mountain","Q",6,"United States","North America","Southwest",75
"Mountain Bike Center",1998,"Guardian Bank","Value Added Reseller",2012,2013,800000,"136-555-0134",18,80000,"6756 Mowry","Newark","US","United States","94560","California","CA",200,"Road","S",5,"United States","North America","Southwest",97
"Wheelsets Storehouse",1983,"Primary International","Warehouse",2012,2013,3000000,"195-555-0196",66,300000,"63 Badgers Island West","Kittery","US","United States","03904","Maine","ME",1000,"Road","Q",5,"United States","North America","Northeast",108
"Elite Bikes",2003,"United Security","Warehouse",2012,2012,3000000,"380-555-0116",58,300000,"Po Box 8259024","Dallas","US","United States","75201","Texas","TX",1000,"Road","Q",6,"United States","North America","Southwest",130
"Distance Bikes",1992,"Primary Bank & Reserve","Value Added Reseller",2012,2013,800000,"353-555-0188",12,80000,"Park North Business Center","Clarkston","US","United States","30021","Georgia","GA",200,"Road","S",5,"United States","North America","Southeast",152
"Sports Merchandise",1993,"International Security","Warehouse",2013,2013,3000000,"644-555-0111",83,300000,"558 S 6th St","Klamath Falls","US","United States","97601","Oregon","OR",1000,"Touring","Q",6,"United States","North America","Northwest",163
"Weekend Bike Tours",1982,"Primary International","Value Added Reseller",2012,2012,300000,"495-555-0113",4,30000,"630 N. Capitol Ave.","San Jose","US","United States","95112","California","CA",200,"Road","S",7,"United States","North America","Southwest",185
"Sure & Reliable Sporting Goods",2001,"International Bank","Value Added Reseller",2011,2012,800000,"476-555-0139",17,80000,"7990 Ocean Beach Hwy.","Longview","US","United States","98632","Washington","WA",200,"Road","S",5,"United States","North America","Northwest",218
"Wire Baskets and Parts",1979,"International Security","Value Added Reseller",2011,2011,800000,"103-555-0179",19,80000,"Mall Of Orange","Orange","US","United States","92867","California","CA",200,"Road","S",5,"United States","North America","Southwest",240
"Endurance Bikes",1997,"Guardian Bank","Warehouse",2013,2013,3000000,"378-555-0157",70,300000,"99200 Dixwell Ave.","Hamden","US","United States","06518","Connecticut","CT",1000,"Road","Q",5,"United States","North America","Northeast",251
"A Typical Bike Shop",1986,"Reserve Security","Value Added Reseller",2011,2011,300000,"686-555-0180",8,30000,"One Dancing, Rr No. 25 Box 8033","Round Rock","US","United States","78664","Texas","TX",200,"Road","S",6,"United States","North America","Southwest",273
"Work and Play Association",1980,"Primary Bank & Reserve","Value Added Reseller",2012,2013,800000,"818-555-0171",12,80000,"2533 Eureka Rd.","Southgate","US","United States","48195","Michigan","MI",200,"Road","S",6,"United States","North America","Central",306
"Totes & Baskets Company",1974,"Guardian Bank","Value Added Reseller",2011,2013,300000,"560-555-0171",2,30000,"72540 Blanco Rd.","San Antonio","US","United States","78204","Texas","TX",200,"Road","S",5,"United States","North America","Southwest",328
"Fitness Supplies",2003,"United Security","Value Added Reseller",2013,2013,800000,"390-555-0150",15,80000,"755 W Washington Ave Ste D","Sequim","US","United States","98382","Washington","WA",200,"Touring","S",5,"United States","North America","Northwest",361
"Sporting Goods and Bicycle Shop",1981,"Guardian Bank","Warehouse",,,3000000,"813-555-0173",91,300000,"Fort Henry Mall","Kingsport","US","United States","37660","Tennessee","TN",1000,"Road","Q",,"United States","North America","Southeast",405
"Bike Products and Accessories",1998,"International Bank","Value Added Reseller",2012,2013,800000,"881-555-0139",14,80000,"Regency Hilltop Shopping Cntr","Virginia Beach","US","United States","23451","Virginia","VA",200,"Mountain","S",5,"United States","North America","Southeast",449
"Valley Bicycle Distributors",1985,"Primary International","Warehouse",2012,2013,3000000,"323-555-0113",84,300000,"5867 Sunrise Boulevard","Citrus Heights","US","United States","95610","California","CA",1000,"Road","Q",5,"United States","North America","Southwest",493
"New Bikes Company",1978,"International Security","Warehouse",2011,2011,1500000,"453-555-0165",40,150000,"Hilton Head Factory Outlets No. 25","Bluffton","US","United States","29910","South Carolina","SC",1000,"Road","Q",5,"United States","North America","Southeast",548
"Safe Toys",2002,"Reserve Security","Warehouse",2011,2011,3000000,"329-555-0183",73,300000,"49925 Crestview Drive N.E.","Rio Rancho","US","United States","87124","New Mexico","NM",1000,"Mountain","Q",6,"United States","North America","Southwest",581
"Retail Toy Store",1991,"International Bank","Value Added Reseller",2010,2012,300000,"140-555-0188",7,30000,"Dadeland Mall, Space 25090","Miami","US","United States","33127","Florida","FL",200,"Road","S",7,"United States","North America","Southeast",603
"Recreation Systems",1986,"Guardian Bank","Value Added Reseller",2012,2013,800000,"117-555-0110",14,80000,"Logansport Mall","Logansport","US","United States","46947","Indiana","IN",200,"Road","S",6,"United States","North America","Northeast",636
"Solid Bike Parts",2003,"Primary International","Warehouse",2011,2012,3000000,"918-555-0141",99,300000,"Lincoln Square","Arlington","US","United States","76010","Texas","TX",1000,"Road","Q",6,"United States","North America","Southwest",647
"Racing Bike Outlet",2002,"United Security","Warehouse",2012,2013,3000000,"899-555-0134",52,300000,"225 South 314th Street","Federal Way","US","United States","98003","Washington","WA",1000,"Road","Q",5,"United States","North America","Northwest",669
"Mountain Bike Store",1995,"Primary Bank & Reserve","Value Added Reseller",2012,2013,800000,"751-555-0119",14,80000,"Amity Plaza","New Haven","US","United States","06510","Connecticut","CT",200,"Touring","S",4,"United States","North America","Northeast",691
"Country Parts Shop",1998,"Guardian Bank","Value Added Reseller",,,800000,"1 (11) 500 555-0127",14,80000,"7033, rue de Longchamp","Les Ulis","FR","France","91940","Essonne","91",,"Road","S",,"France","Europe","France",13
"Precision Gears Inc.",1999,"United Security","Specialty Bike Shop",,,1500000,"1 (11) 500 555-0182",40,150000,"Roástr 2248","Stuttgart","DE","Germany","70511","Saarland","SL",,"Road","A",,"Germany","Europe","Germany",32
"Volume Bike Sellers",2003,"Reserve Security","Warehouse",,,3000000,"1 (11) 500 555-0119",100,300000,"2565-175 Mitchell Road","Alexandria","AU","Australia","2015","New South Wales","NSW",,"Mountain","Q",,"Australia","Pacific","Australia",105
"Teen Discount Store",1998,"Reserve Security","Value Added Reseller",,,800000,"1 (11) 500 555-0187",16,80000,"Haberstr 29","Bonn","DE","Germany","53131","Hamburg","HH",600,"Mountain","S",,"Germany","Europe","Germany",140
"Rural Sporting Goods",1989,"United Security","Value Added Reseller",,,800000,"1 (11) 500 555-0191",10,80000,"Auf der Krone 53","Bonn","DE","Germany","53131","Nordrhein-Westfalen","NW",600,"Road","S",,"Germany","Europe","Germany",158
"Mechanical Brake Manufacturers",1974,"Primary Bank & Reserve","Value Added Reseller",,,800000,"1 (11) 500 555-0179",10,80000,"Alte Landstr 776","München","DE","Germany","80074","Hamburg","HH",,"Touring","S",,"Germany","Europe","Germany",194
"Full Sports Supply",1990,"Guardian Bank","Specialty Bike Shop",2011,2012,1500000,"1 (11) 500 555-0199",47,150000,"39, route de Marseille","Paris","FR","France","75016","Seine (Paris)","75",,"Mountain","A",4,"France","Europe","France",265
"Speedometer Sales",1999,"Guardian Bank","Specialty Bike Shop",,,1500000,"1 (11) 500 555-0190",37,150000,"Am Karlshof 8200","Hamburg","DE","Germany","22001","Hessen","HE",600,"Road","A",,"Germany","Europe","Germany",356
"Township Inn",1997,"International Security","Value Added Reseller",,,800000,"1 (11) 500 555-0132",11,80000,"61, rue Henri Gagnon","Les Ulis","FR","France","91940","Essonne","91",,"Road","S",,"France","Europe","France",373
"Major Equipment Co",1990,"Primary International","Specialty Bike Shop",,,1500000,"1 (11) 500 555-0147",47,150000,"Holzstr 6444","Salzgitter","DE","Germany","38231","Hessen","HE",,"Touring","A",,"Germany","Europe","Germany",374
"Region Bike Company",1996,"United Security","Warehouse",,,3000000,"1 (11) 500 555-0181",81,300000,"P O Box 72569","East Brisbane","AU","Australia","4169","Queensland","QLD",,"Road","Q",,"Australia","Pacific","Australia",375
"Little Sports Center",1980,"International Security","Value Added Reseller",,,300000,"1 (11) 500 555-0116",4,30000,"7 Pioneer Business Park","York","GB","United Kingdom","Y03 4TN","England","ENG",200,"Touring","S",,"United Kingdom","Europe","United Kingdom",394
"Outdoor Toy Store",1979,"Primary International","Value Added Reseller",,,300000,"1 (11) 500 555-0123",8,30000,"18, rue de l'Esplanade","Aujan Mournede","FR","France","32300","Gers","32",,"Mountain","S",,"France","Europe","France",409
"Cross-town Parts Shop",1994,"Guardian Bank","Specialty Bike Shop",,,800000,"1 (11) 500 555-0113",19,80000,"Po Box 25484","Springwood","AU","Australia","2777","New South Wales","NSW",,"Road","A",,"Australia","Pacific","Australia",447
"Brand New Bikes",2000,"International Bank","Warehouse",,,3000000,"1 (11) 500 555-0123",64,300000,"215, avenue Reille","Les Ulis","FR","France","91940","Essonne","91",,"Road","Q",,"France","Europe","France",463
"Expert Cycle Store",1999,"Primary International","Specialty Bike Shop",,,1500000,"1 (11) 500 555-0137",37,150000,"Orwith Center 39 Herbert Street","St. Leonards","AU","Australia","2065","New South Wales","NSW",,"Touring","A",,"Australia","Pacific","Australia",465
"Downhill Bicycle Specialists",1996,"International Bank","Warehouse",2012,2012,3000000,"1 (11) 500 555-0199",81,300000,"725a The Arches","Berks","GB","United Kingdom","SL4 1RH","England","ENG",,"Mountain","Q",5,"United Kingdom","Europe","United Kingdom",484
"Irregulars Outlet",1988,"Primary International","Value Added Reseller",,,300000,"1 (11) 500 555-0150",5,30000,"Pappelallee 19","Dresden","DE","Germany","01071","Hessen","HE",,"Mountain","S",,"Germany","Europe","Germany",500
"Racing Store",1991,"Guardian Bank","Warehouse",,,3000000,"1 (11) 500 555-0122",92,300000,"30, avenue de l' Union Centrale","Les Ulis","FR","France","91940","Essonne","91",,"Road","Q",,"France","Europe","France",517
"Preferable Bikes",2005,"Primary Bank & Reserve","Specialty Bike Shop",,,1000000,"1 (11) 500 555-0125",29,100000,"Level 25 538 Climbing Street","Rhodes","AU","Australia","2138","New South Wales","NSW",600,"Touring","A",,"Australia","Pacific","Australia",537
"Hiatus Bike Tours",1998,"International Bank","Specialty Bike Shop",,,1500000,"1 (11) 500 555-0128",48,150000,"3833, boulevard Beau Marchais","Paris","FR","France","75009","Seine (Paris)","75",,"Touring","A",,"France","Europe","France",589
"Lustrous Paints and Components",1991,"International Security","Warehouse",2012,2012,3000000,"1 (11) 500 555-0115",80,300000,"Kurfrstenstr 74","Poing","DE","Germany","66041","Saarland","SL",,"Road","Q",7,"Germany","Europe","Germany",590
"Extended Tours",1996,"United Security","Warehouse",2011,2012,3000000,"1 (11) 500 555-0140",97,300000,"7 Garden House Cloisters, 8 Batters","London","GB","United Kingdom","SW8 4BG","England","ENG",,"Road","Q",4,"United Kingdom","Europe","United Kingdom",641
"Links Works",1978,"Guardian Bank","Warehouse",,,1500000,"1 (11) 500 555-0158",40,150000,"Helsenbergbogen 6","Ascheim","DE","Germany","86171","Hamburg","HH",600,"Mountain","Q",,"Germany","Europe","Germany",657
"Mass Market Bikes",1980,"Reserve Security","Value Added Reseller",,,300000,"1 (11) 500 555-0197",5,30000,"Level 59","Alexandria","AU","Australia","2015","New South Wales","NSW",200,"Touring","S",,"Australia","Pacific","Australia",658
"Authentic Sales and Service",1994,"Reserve Security","Specialty Bike Shop",2012,2012,800000,"1 (11) 500 555-0178",19,80000,"99 Dean Street, Soho","London","GB","United Kingdom","W1V 5RN","England","ENG",,"Mountain","A",6,"United Kingdom","Europe","United Kingdom",665
"Consumer Equipment",1996,"Primary International","Specialty Bike Shop",,,1500000,"1 (11) 500 555-0113",43,150000,"67 Vincent Square, Victoria","London","GB","United Kingdom","SW1P 2NU","England","ENG",,"Road","A",,"United Kingdom","Europe","United Kingdom",689
"Bulk Discount Store",2004,"International Security","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0132",17,80000,"93-2501, Blackfriars Road,","London","GB","United Kingdom","SE1 8HL","England","ENG",,"Road","S",6,"United Kingdom","Europe","United Kingdom",16
"Cycles Wholesaler & Mfg.",2003,"Guardian Bank","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0181",15,80000,"Science Park South, Birchwood Stanford House","Warrington","GB","United Kingdom","WA3 7BH","England","ENG",,"Touring","S",4,"United Kingdom","Europe","United Kingdom",34
"Self-Contained Cycle Parts Company",1980,"United Security","Value Added Reseller",2012,2013,300000,"1 (11) 500 555-0127",4,30000,"12, rue des Grands Champs","Verrieres Le Buisson","FR","France","91370","Essonne","91",,"Road","S",6,"France","Europe","France",67
"Bicycle Exporters",1976,"International Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0163",34,150000,"Hellweg 4934","Essen","DE","Germany","45001","Hamburg","HH",600,"Touring","A",4,"Germany","Europe","Germany",86
"Metro Sports Equipment",1996,"International Security","Warehouse",2012,2013,1500000,"1 (11) 500 555-0167",49,150000,"6, rue des Pyrenees","Saint Ouen","FR","France","41100","Loir et Cher","41",,"Mountain","Q",6,"France","Europe","France",121
"First Supplies",2000,"United Security","Specialty Bike Shop",2012,2013,1000000,"1 (11) 500 555-0140",22,100000,"Chabbell Park","North Ryde","AU","Australia","2113","New South Wales","NSW",,"Touring","A",4,"Australia","Pacific","Australia",123
"Nearby Sporting Goods",2002,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"1 (11) 500 555-0176",52,300000,"Bradford","W. York","GB","United Kingdom","BD1 4SJ","England","ENG",,"Road","Q",5,"United Kingdom","Europe","United Kingdom",124
"Steel Inc.",1995,"Guardian Bank","Warehouse",2011,2013,3000000,"1 (11) 500 555-0168",67,300000,"5, place de la Concorde","Colombes","FR","France","92700","Hauts de Seine","92",,"Road","Q",4,"France","Europe","France",139
"Ace Bicycle Supply",1996,"Primary International","Warehouse",2012,2013,3000000,"1 (11) 500 555-0120",81,300000,"36, avenue de la Gare","Paris","FR","France","75019","Seine (Paris)","75",,"Mountain","Q",5,"France","Europe","France",157
"Vigorous Sports Store",1988,"Guardian Bank","Warehouse",2012,2013,3000000,"1 (11) 500 555-0178",82,300000,"Banbury","Oxon","GB","United Kingdom","OX16 8RS","England","ENG",,"Road","Q",6,"United Kingdom","Europe","United Kingdom",160
"Registered Cycle Store",1987,"Reserve Security","Warehouse",2012,2013,3000000,"1 (11) 500 555-0197",87,300000,"26, rue Saint Denis","Orleans","FR","France","45000","Loiret","45",,"Mountain","Q",5,"France","Europe","France",175
"Plastic Products Manufacturers",1986,"International Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0181",40,150000,"5525 Glenferrie Road","Hawthorne","AU","Australia","4171","Queensland","QLD",,"Touring","A",4,"Australia","Pacific","Australia",177
"Exhibition Showroom",1978,"Reserve Security","Warehouse",2012,2013,3000000,"1 (11) 500 555-0126",94,300000,"Garamonde Drive, Wymbush P.O. Box 803","Milton Keynes","GB","United Kingdom","MK8 8ZD","England","ENG",1000,"Mountain","Q",4,"United Kingdom","Europe","United Kingdom",196
"Sports Products Store",2003,"International Bank","Warehouse",2012,2013,3000000,"1 (11) 500 555-0174",99,300000,"98, rue de Terre Neuve","Lieusaint","FR","France","77127","Seine et Marne","77",,"Road","Q",5,"France","Europe","France",211
"Exclusive Bicycle Mart",2003,"United Security","Warehouse",2012,2013,3000000,"1 (11) 500 555-0175",100,300000,"Butterfield Hse, 7-251 Chapel St","Lancaster","GB","United Kingdom","LA1 1LN","England","ENG",,"Road","Q",5,"United Kingdom","Europe","United Kingdom",214
"Instant Cycle Store",1994,"Primary Bank & Reserve","Specialty Bike Shop",2011,2013,800000,"1 (11) 500 555-0113",19,80000,"21801, rue L‚o Delibes","Colombes","FR","France","92700","Hauts de Seine","92",600,"Road","A",4,"France","Europe","France",229
"Helmets and Cycles",1998,"Reserve Security","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0122",14,80000,"Rosebery","Lavender Bay","AU","Australia","2060","New South Wales","NSW",,"Touring","S",4,"Australia","Pacific","Australia",231
"Exceptional Cycle Services",2000,"International Bank","Specialty Bike Shop",2012,2013,1000000,"1 (11) 500 555-0140",22,100000,"Wade Road","Basingstoke Hants","GB","United Kingdom","RG24 8PL","England","ENG",,"Touring","A",4,"United Kingdom","Europe","United Kingdom",232
"Major Amusement Company",1999,"International Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0112",37,150000,"2111, rue de Linois","Orly","FR","France","94310","Val de Marne","94",,"Mountain","A",5,"France","Europe","France",247
"Number One Bike Co.",1986,"Guardian Bank","Specialty Bike Shop",2011,2013,1500000,"1 (11) 500 555-0169",40,150000,"Elmhurst Road, Goring","Reading","GB","United Kingdom","RG7 5H7","England","ENG",,"Road","A",4,"United Kingdom","Europe","United Kingdom",286
"Rural Mountain Bike Mart",1992,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0183",35,150000,"98, rue Montcalm","Paris","FR","France","75019","Seine (Paris)","75",600,"Road","A",5,"France","Europe","France",301
"Best Cycle Store",1978,"International Bank","Warehouse",2012,2013,3000000,"1 (11) 500 555-0178",93,300000,"Berliner Platz 45","Offenbach","DE","Germany","63009","Saarland","SL",,"Touring","Q",4,"Germany","Europe","Germany",302
"Amalgamated Parts Shop",2003,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"1 (11) 500 555-0146",99,300000,"Brunnenstr 422","Frankfurt am Main","DE","Germany","60082","Hamburg","HH",,"Touring","Q",4,"Germany","Europe","Germany",320
"Tachometers and Accessories",1975,"Reserve Security","Specialty Bike Shop",2012,2013,1000000,"1 (11) 500 555-0176",28,100000,"Wymbush","Milton Keynes","GB","United Kingdom","MK8 8DF","England","ENG",,"Mountain","A",6,"United Kingdom","Europe","United Kingdom",322
"Recreation Toy Store",1992,"International Bank","Value Added Reseller",2011,2013,800000,"1 (11) 500 555-0116",11,80000,"39, avenue des Laurentides","Paris La Defense","FR","France","92081","Hauts de Seine","92",,"Mountain","S",4,"France","Europe","France",337
"Nearby Cycle Shop",1998,"United Security","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0195",14,80000,"Burgess Hill Edward Way","West Sussex","GB","United Kingdom","RH15 9UD","England","ENG",,"Mountain","S",6,"United Kingdom","Europe","United Kingdom",340
"Spare Parts Co.",1991,"Primary Bank & Reserve","Value Added Reseller",2011,2013,800000,"1 (11) 500 555-0165",17,80000,"3101, avenue de Malakoff","Paris","FR","France","75003","Seine (Paris)","75",,"Mountain","S",4,"France","Europe","France",355
"Commerce Bicycle Specialists",1989,"Primary Bank & Reserve","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0146",10,80000,"Wharfdale Road","Berkshire","GB","United Kingdom","RG11 5TP","England","ENG",,"Mountain","S",5,"United Kingdom","Europe","United Kingdom",376
"Primary Cycle Shop",1981,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0133",41,150000,"Am Grossen Dern 982","Hamburg","DE","Germany","20354","Hamburg","HH",,"Road","A",4,"Germany","Europe","Germany",392
"Leisure Clearing House",1974,"Guardian Bank","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0181",10,80000,"Unit 99a Battery Retail Pk","Birmingham","GB","United Kingdom","B29 6SL","England","ENG",,"Road","S",5,"United Kingdom","Europe","United Kingdom",412
"Unusual Bicycle Company",2003,"International Security","Warehouse",2012,2013,3000000,"1 (11) 500 555-0183",99,300000,"85 Egerton Street","Silverwater","AU","Australia","2264","New South Wales","NSW",,"Touring","Q",4,"Australia","Pacific","Australia",429
"Uttermost Bike Shop",2004,"Primary International","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0118",19,80000,"Ellesfield Ave","Bracknell","GB","United Kingdom","RG12 8TB","England","ENG",,"Road","S",5,"United Kingdom","Europe","United Kingdom",430
"Getaway Inn",1991,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"1 (11) 500 555-0149",80,300000,"54, avenue des Ternes","Saint Ouen","FR","France","41100","Loir et Cher","41",600,"Road","Q",6,"France","Europe","France",481
"Fabrikam Inc., East",1997,"Guardian Bank","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0186",11,80000,"Roástr 9938 Verkaufsabteilung","Eilenburg","DE","Germany","04838","Brandenburg","BB",200,"Road","S",4,"Germany","Europe","Germany",482
"Racing Sales and Service",1982,"International Security","Warehouse",2012,2013,3000000,"1 (11) 500 555-0122",86,300000,"510, avenue de Villiers","Orleans","FR","France","45000","Loiret","45",600,"Road","Q",6,"France","Europe","France",499
"Metropolitan Bicycle Supply",1987,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"1 (11) 500 555-0177",87,300000,"Paramount House","London","GB","United Kingdom","W1N 9FA","England","ENG",,"Mountain","Q",6,"United Kingdom","Europe","United Kingdom",502
"Spa and Exercise Outfitters",2002,"Primary International","Warehouse",2012,2013,3000000,"1 (11) 500 555-0191",98,300000,"33, rue Georges-Cl‚menceau","Cergy","FR","France","95000","Val d'Oise","95",,"Mountain","Q",5,"France","Europe","France",535
