School Name,Filtered by School Level,CCA Group,CCA General,CCA Customized,ID
"NANYANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",183
"NEW TOWN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",187
"NORTH SPRING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",191
"NORTH VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",192
"NORTHLAND PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",196
"PALM VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",206
"PASIR RIS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",209
"PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",211
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",214
"PEI TONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",216
"PEIYING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",219
"PIONEER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",221
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",227
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",232
"RAFFLES GIRLS' PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",236
"CONCORD PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",77
"DAZHONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",83
"DE LA SALLE SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",84
"EAST SPRING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",89
"EDGEFIELD PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",91
"ENDEAVOUR PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",94
"EUNOS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",96
"FAIRFIELD METHODIST SCHOOL (PRIMARY)","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",99
"FENGSHAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",103
"FIRST TOA PAYOH PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",106
"FRONTIER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",107
"FUCHUN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",108
"GAN ENG SENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",112
"GEYLANG METHODIST SCHOOL (PRIMARY)","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",114
"GREENDALE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",117
"GREENWOOD PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",121
"HAIG GIRLS' SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",125
"HENRY PARK PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",126
"HONG WEN SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",130
"INNOVA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",137
"JUNYUAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",140
"JURONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHOIR","Not Available",143
"ADMIRALTY PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",1
"AI TONG SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",5
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",6
"ANCHOR GREEN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",7
"ANG MO KIO PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",11
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",18
"BEACON PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",23
"BLANGAH RISE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",31
"BOON LAY GARDEN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",32
"BUKIT PANJANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",39
"CANTONMENT PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",46
"CASUARINA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",47
"CHONGFU SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",65
"CHONGZHENG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",66
"CHUA CHU KANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",68
"WHITE SANDS PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",314
"WOODGROVE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",316
"WOODLANDS PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",318
"XINMIN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",324
"YIO CHU KANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",329
"YUHUA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",337
"ZHONGHUA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",345
"RED SWASTIKA SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",239
"RIVER VALLEY PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",242
"RIVERSIDE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",243
"ROSYTH SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",246
"RULANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",247
"SENGKANG GREEN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",254
"SHUQUN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",257
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",262
"SPRINGDALE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",264
"ST. ANTHONY'S PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",271
"ST. GABRIEL'S PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",272
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",285
"TAMPINES PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",286
"TANJONG KATONG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",290
"TAO NAN SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",292
"TECK GHEE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",293
"TECK WHYE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",294
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",296
"TEMASEK PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",298
"UNITY PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",301
"WELLINGTON PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",307
"WEST GROVE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",308
"KONG HWA SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",153
"KRANJI PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",154
"LAKESIDE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",158
"LIANHUA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",159
"MAHA BODHI SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",161
"MARSILING PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",164
"NORTH SPRING PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",191
"PIONEER PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",221
"POI CHING SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",222
"DAZHONG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",83
"DE LA SALLE SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",84
"EAST SPRING PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",89
"ELIAS PARK PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",93
"ENDEAVOUR PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",94
"FENGSHAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",103
"FERNVALE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",105
"FIRST TOA PAYOH PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",106
"FRONTIER PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",107
"FUCHUN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",108
"GAN ENG SENG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",112
"GONGSHANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",116
"GREENRIDGE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",119
"GREENWOOD PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",121
"HENRY PARK PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",126
"HORIZON PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",131
"HOUGANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",132
"JING SHAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",139
"JUNYUAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",140
"JURONG WEST PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","SCOUTS","Not Available",145
"AHMAD IBRAHIM SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",4
"ANGLICAN HIGH SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",13
"ANGLO-CHINESE SCHOOL (BARKER ROAD)","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",15
"BEATTY SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",24
"BEDOK SOUTH SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",27
"BUKIT MERAH SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",37
"BUKIT PANJANG GOVT. HIGH SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",38
"CHUA CHU KANG SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",69
"CHUNG CHENG HIGH SCHOOL (MAIN)","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",70
"YUAN CHING SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",336
"ZHENGHUA SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",344
"ZHONGHUA SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",346
"RIVER VALLEY HIGH SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",241
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","UNIFORMED GROUPS","SCOUTS","Not Available",241
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",248
"SERANGOON SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",256
"ST. PATRICK'S SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",280
"TANGLIN SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",288
"TANJONG KATONG SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",291
"UNITY SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",302
"VICTORIA SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",305
"MANJUSRI SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",162
"MAYFLOWER SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",168
"MONTFORT SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",176
"NAN CHIAU HIGH SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",177
"NEW TOWN SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",188
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",201
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","JUNIOR COLLEGE","UNIFORMED GROUPS","SCOUTS","Not Available",201
"PEIRCE SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",218
"DUNEARN SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",86
"DUNMAN SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",88
"EAST SPRING SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",90
"EDGEFIELD SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",92
"GREENRIDGE SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",120
"HOLY INNOCENTS' HIGH SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",128
"HWA CHONG INSTITUTION","JUNIOR COLLEGE","UNIFORMED GROUPS","SCOUTS","Not Available",136
"JURONGVILLE SECONDARY SCHOOL","SECONDARY","UNIFORMED GROUPS","SCOUTS","Not Available",147
"AI TONG SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",5
"ANDERSON PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",8
"ANDERSON PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",8
"ANG MO KIO PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",11
"ANGLO-CHINESE JUNIOR COLLEGE","JUNIOR COLLEGE","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",14
"BLANGAH RISE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",31
"BUKIT PANJANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",39
"CANTONMENT PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",46
"CASUARINA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",47
"CEDAR PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",51
"CEDAR PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",51
"CHIJ (KATONG) PRIMARY","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",54
"CHIJ OUR LADY OF GOOD COUNSEL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",57
"CHIJ OUR LADY QUEEN OF PEACE","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",59
"CHIJ ST. NICHOLAS GIRLS' SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",63
"CHONGFU SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",65
"CHONGZHENG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",66
"CLEMENTI PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",72
"WOODGROVE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",316
"XINGHUA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",322
"XINGHUA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",322
"XINMIN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",324
"XINMIN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",324
"YEW TEE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",328
"YIO CHU KANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",329
"ZHENGHUA PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",343
"RAFFLES INSTITUTION","JUNIOR COLLEGE","UNIFORMED GROUPS","NATIONAL POLICE CADET CORPS","Not Available",238
"RAFFLES INSTITUTION","JUNIOR COLLEGE","UNIFORMED GROUPS","NATIONAL CADET CORPS (LAND)","Not Available",238
"RAFFLES INSTITUTION","JUNIOR COLLEGE","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",238
"RED SWASTIKA SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",239
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","UNIFORMED GROUPS","GIRL GUIDES","Not Available",241
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","UNIFORMED GROUPS","NATIONAL POLICE CADET CORPS","Not Available",241
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","UNIFORMED GROUPS","ST JOHN BRIGADE","Not Available",241
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","UNIFORMED GROUPS","NATIONAL CADET CORPS (LAND)","Not Available",241
"RIVER VALLEY PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",242
"SHUQUN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",257
"SHUQUN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",257
"SI LING PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",258
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",262
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",262
"ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",269
"ST. ANTHONY'S PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",271
"ST. HILDA'S PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",274
"ST. HILDA'S PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",274
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",285
"TAMPINES PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",286
"TAO NAN SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",292
"TAO NAN SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",292
"TAO NAN SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",292
"TECK GHEE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",293
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",296
"TEMASEK PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",298
"TEMASEK PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",298
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",300
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",300
"WEST GROVE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",308
"WEST GROVE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",308
"WEST GROVE PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",308
"WESTWOOD PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",312
"KHENG CHENG SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",152
"KONG HWA SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",153
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",156
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",156
"MARYMOUNT CONVENT SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",166
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",167
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",167
"METHODIST GIRLS' SCHOOL (PRIMARY)","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",172
"METHODIST GIRLS' SCHOOL (PRIMARY)","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",172
"NANYANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",183
"NANYANG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",183
"NEW TOWN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",187
"NORTH SPRING PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRL GUIDES (BROWNIES)","Not Available",191
"NORTH VIEW PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",192
"NORTH VIEW PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",192
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","JUNIOR COLLEGE","UNIFORMED GROUPS","ST JOHN BRIGADE","Not Available",201
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","JUNIOR COLLEGE","UNIFORMED GROUPS","NATIONAL CADET CORPS (LAND)","Not Available",201
"PALM VIEW PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",206
"PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",211
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",214
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",214
"PEI TONG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",216
"PEI TONG PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",216
"PEIYING PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","RED CROSS YOUTH","Not Available",219
"PIONEER PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",221
"PIONEER PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",221
"PUNGGOL PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","GIRLS' BRIGADE","Not Available",227
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","UNIFORMED GROUPS","BOYS' BRIGADE","Not Available",232
