gamename,date,avg,gain,peak,avg_peak_perc,site
"Anomaly Warzone Earth",2012-12-01 00:00:00.000,11.04,3.75,29,0.3807,"SteamCharts"
"Hearts of Iron III",2012-12-01 00:00:00.000,308.85,21.41,633,0.4879,"SteamCharts"
"Caster",2012-12-01 00:00:00.000,1.02,0.38,5,0.204,"SteamCharts"
"F.E.A.R. 2: Project Origin",2012-12-01 00:00:00.000,96.16,7.91,319,0.3014,"SteamCharts"
"Hard Reset",2012-12-01 00:00:00.000,24.06,7.74,61,0.3944,"SteamCharts"
"Medal of Honor(TM) Single Player",2012-12-01 00:00:00.000,13.54,-2.37,38,0.3563,"SteamCharts"
"Mount & Blade",2012-12-01 00:00:00.000,155.43,31.34,499,0.3115,"SteamCharts"
"Arma: Cold War Assault",2012-12-01 00:00:00.000,5.44,0.84,17,0.32,"SteamCharts"
"Blade Symphony",2012-12-01 00:00:00.000,0.42,0.36,4,0.105,"SteamCharts"
"Cortex Command",2012-12-01 00:00:00.000,30.23,-2.42,84,0.3599,"SteamCharts"
"Alpha Protocol",2012-12-01 00:00:00.000,28.86,-1.27,75,0.3848,"SteamCharts"
"Far Cry",2012-12-01 00:00:00.000,75.41,20.53,336,0.2244,"SteamCharts"
"Counter-Strike: Global Offensive",2013-01-01 00:00:00.000,16164.22,2084.83,31359,0.5155,"SteamCharts"
"Dota 2",2013-01-01 00:00:00.000,147748.14,25823.72,260989,0.5661,"SteamCharts"
"Team Fortress 2",2013-01-01 00:00:00.000,44255.06,631.07,74300,0.5956,"SteamCharts"
"PAYDAY 2",2013-01-01 00:00:00.000,1.48,1.48,19,0.0779,"SteamCharts"
"Garry's Mod",2013-01-01 00:00:00.000,13643.51,2913.68,24427,0.5585,"SteamCharts"
"DayZ",2013-01-01 00:00:00.000,0.42,0.09,4,0.105,"SteamCharts"
"Spacewar",2013-01-01 00:00:00.000,41.89,0.01,93,0.4504,"SteamCharts"
"Sid Meier's Civilization V",2013-01-01 00:00:00.000,29119.93,3664.55,58386,0.4987,"SteamCharts"
"Counter-Strike",2013-01-01 00:00:00.000,34814.47,2818.4,65188,0.5341,"SteamCharts"
"The Elder Scrolls V: Skyrim",2013-01-01 00:00:00.000,29188.55,3568.14,54570,0.5349,"SteamCharts"
"Mount & Blade: Warband",2013-01-01 00:00:00.000,3909.84,795.61,8413,0.4647,"SteamCharts"
"Total War: MEDIEVAL II - Definitive Edition",2013-01-01 00:00:00.000,1225.47,403.63,2254,0.5437,"SteamCharts"
"Crusader Kings II",2013-01-01 00:00:00.000,2147.02,290.5,4013,0.535,"SteamCharts"
"Borderlands 2",2013-01-01 00:00:00.000,14659.73,-112.94,28507,0.5143,"SteamCharts"
"Total War: EMPIRE - Definitive Edition",2013-01-01 00:00:00.000,5325.48,500.52,10207,0.5217,"SteamCharts"
"The Sims(TM) 3",2013-01-01 00:00:00.000,2969.31,1336.05,6545,0.4537,"SteamCharts"
"Total War: SHOGUN 2",2013-01-01 00:00:00.000,5502.92,363.42,10292,0.5347,"SteamCharts"
"Portal 2",2013-01-01 00:00:00.000,2740.09,-263.36,6366,0.4304,"SteamCharts"
"Star Trek Online",2013-01-01 00:00:00.000,1807.36,17.13,3396,0.5322,"SteamCharts"
"PlanetSide 2",2013-01-01 00:00:00.000,7353.27,-4105.42,14532,0.506,"SteamCharts"
"Realm of the Mad God Exalt",2013-01-01 00:00:00.000,745.27,29.55,1499,0.4972,"SteamCharts"
"Train Simulator",2013-01-01 00:00:00.000,1029.95,5.19,2373,0.434,"SteamCharts"
"Total War: NAPOLEON - Definitive Edition",2013-01-01 00:00:00.000,2173.88,122.48,4525,0.4804,"SteamCharts"
"Grand Theft Auto IV: The Complete Edition",2013-01-01 00:00:00.000,2041.82,537.81,5646,0.3616,"SteamCharts"
"Rome: Total War",2013-01-01 00:00:00.000,808.98,73.86,1512,0.535,"SteamCharts"
"Plants vs. Zombies: Game of the Year",2013-01-01 00:00:00.000,668.27,76.92,1481,0.4512,"SteamCharts"
"Stronghold Crusader HD",2013-01-01 00:00:00.000,54.78,-1.31,129,0.4247,"SteamCharts"
"Sid Meier's Civilization IV: Beyond the Sword",2013-01-01 00:00:00.000,527.35,69.63,1051,0.5018,"SteamCharts"
"MapleStory",2013-01-01 00:00:00.000,746.47,-39.68,1857,0.402,"SteamCharts"
"Sid Meier's Civilization III: Complete",2013-01-01 00:00:00.000,247.16,37.26,504,0.4904,"SteamCharts"
"XCOM: Enemy Unknown",2013-01-01 00:00:00.000,4891.62,-319.76,11665,0.4193,"SteamCharts"
"The Elder Scrolls IV: Oblivion",2013-01-01 00:00:00.000,726.19,229.3,1632,0.445,"SteamCharts"
"Spore",2013-01-01 00:00:00.000,181.54,-30.95,455,0.399,"SteamCharts"
"Insurgency",2013-01-01 00:00:00.000,1.59,0.59,27,0.0589,"SteamCharts"
"Source Filmmaker",2013-01-01 00:00:00.000,177.95,16.84,322,0.5526,"SteamCharts"
"The Lord of the Rings Online™",2013-01-01 00:00:00.000,1903.69,373.5,3383,0.5627,"SteamCharts"
"Victoria II",2013-01-01 00:00:00.000,207.36,19.32,396,0.5236,"SteamCharts"
"FTL: Faster Than Light",2013-01-01 00:00:00.000,3423.2,854.04,9356,0.3659,"SteamCharts"
"Half-Life 2",2013-01-01 00:00:00.000,822.33,-14.88,1824,0.4508,"SteamCharts"
"TERA",2013-01-01 00:00:00.000,13.68,7.12,65,0.2105,"SteamCharts"
"Fallout: New Vegas RU",2013-01-01 00:00:00.000,403.23,57.33,938,0.4299,"SteamCharts"
"Wreckfest",2013-01-01 00:00:00.000,0.88,0.88,11,0.08,"SteamCharts"
"The Witcher 2: Assassins of Kings Enhanced Edition",2013-01-01 00:00:00.000,1077.09,362.29,2992,0.36,"SteamCharts"
"Warhammer 40,000: Dawn of War - Soulstorm",2013-01-01 00:00:00.000,304.38,64.11,606,0.5023,"SteamCharts"
"The Witcher: Enhanced Edition",2013-01-01 00:00:00.000,697.67,277.49,1924,0.3626,"SteamCharts"
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™",2013-01-01 00:00:00.000,674.72,207.5,1837,0.3673,"SteamCharts"
"RaceRoom Racing Experience",2013-01-01 00:00:00.000,42.98,10.21,427,0.1007,"SteamCharts"
"Far Cry® 3",2013-01-01 00:00:00.000,6116.06,-2649.15,19798,0.3089,"SteamCharts"
"Sins of a Solar Empire: Rebellion",2013-01-01 00:00:00.000,1130.21,106.62,4018,0.2813,"SteamCharts"
"Left 4 Dead",2013-01-01 00:00:00.000,816.37,-47.95,1884,0.4333,"SteamCharts"
"Stronghold Kingdoms",2013-01-01 00:00:00.000,3406.66,318.68,5384,0.6327,"SteamCharts"
"Resident Evil 5",2013-01-01 00:00:00.000,104.15,18.04,297,0.3507,"SteamCharts"
"Football Manager 2012",2013-01-01 00:00:00.000,8317.18,-1441.63,17382,0.4785,"SteamCharts"
"Mass Effect",2013-01-01 00:00:00.000,741.13,118.55,1915,0.387,"SteamCharts"
"The Elder Scrolls III: Morrowind",2013-01-01 00:00:00.000,300.29,84.88,757,0.3967,"SteamCharts"
"SimCity 4 Deluxe",2013-01-01 00:00:00.000,755.06,-161.64,2050,0.3683,"SteamCharts"
"F1 2012",2013-01-01 00:00:00.000,867.55,-174.26,2193,0.3956,"SteamCharts"
"Farming Simulator 2013",2013-01-01 00:00:00.000,1084.28,-99.99,2184,0.4965,"SteamCharts"
"F1 2014",2013-01-01 00:00:00.000,0.19,0.15,4,0.0475,"SteamCharts"
"Torchlight II",2013-01-01 00:00:00.000,5731.75,970.33,16073,0.3566,"SteamCharts"
"S.T.A.L.K.E.R.: Shadow of Chernobyl",2013-01-01 00:00:00.000,149.96,-3.15,340,0.4411,"SteamCharts"
"Call of Duty: Modern Warfare 2",2013-01-01 00:00:00.000,858.11,-167.18,1793,0.4786,"SteamCharts"
"DC Universe Online",2013-01-01 00:00:00.000,1242.5,235.25,2049,0.6064,"SteamCharts"
"Terraria",2013-01-01 00:00:00.000,6025.35,1383.28,13303,0.4529,"SteamCharts"
"Left 4 Dead 2",2013-01-01 00:00:00.000,9416.88,12.89,17873,0.5269,"SteamCharts"
"Counter-Strike: Source",2013-01-01 00:00:00.000,23708.86,1667.88,48458,0.4893,"SteamCharts"
"Fallout: New Vegas",2013-01-01 00:00:00.000,3490.3,236.46,6544,0.5334,"SteamCharts"
"Killing Floor",2013-01-01 00:00:00.000,2432.72,-961.67,4469,0.5444,"SteamCharts"
"Portal",2013-01-01 00:00:00.000,478.59,-49.28,1440,0.3324,"SteamCharts"
"Chivalry: Medieval Warfare",2013-01-01 00:00:00.000,4867.11,1895.66,23094,0.2108,"SteamCharts"
"Castle Crashers",2013-01-01 00:00:00.000,685.69,-684.41,2692,0.2547,"SteamCharts"
"Hotline Miami",2013-01-01 00:00:00.000,362.82,-104.4,1136,0.3194,"SteamCharts"
"Saints Row: The Third",2013-01-01 00:00:00.000,4624.24,-2769.14,11058,0.4182,"SteamCharts"
"The Binding of Isaac",2013-01-01 00:00:00.000,3058.84,741.76,6115,0.5002,"SteamCharts"
"To the Moon",2013-01-01 00:00:00.000,64.5,11.4,394,0.1637,"SteamCharts"
"Dishonored",2013-01-01 00:00:00.000,1710.77,-645.25,5429,0.3151,"SteamCharts"
"POSTAL 2",2013-01-01 00:00:00.000,37.28,-6.96,169,0.2206,"SteamCharts"
"PAYDAY: The Heist",2013-01-01 00:00:00.000,951.05,195.75,3366,0.2825,"SteamCharts"
"Just Cause 2",2013-01-01 00:00:00.000,1091.35,-31.23,2986,0.3655,"SteamCharts"
"Spec Ops: The Line",2013-01-01 00:00:00.000,608.3,218.1,2233,0.2724,"SteamCharts"
"Brothers - A Tale of Two Sons",2013-01-01 00:00:00.000,0.03,-0.02,2,0.015,"SteamCharts"
"The Stanley Parable",2013-01-01 00:00:00.000,0.02,-0.02,2,0.01,"SteamCharts"
"Mafia II (Classic)",2013-01-01 00:00:00.000,838.68,-52.74,1992,0.421,"SteamCharts"
"LIMBO",2013-01-01 00:00:00.000,168.11,-103.04,746,0.2253,"SteamCharts"
"Star Wars: Battlefront 2 (Classic, 2005)",2013-01-01 00:00:00.000,198.77,3.9,453,0.4388,"SteamCharts"
"Bastion",2013-01-01 00:00:00.000,372.77,73.9,1707,0.2184,"SteamCharts"
"Half-Life",2013-01-01 00:00:00.000,228.69,8.89,490,0.4667,"SteamCharts"
"Rising Storm/Red Orchestra 2 Multiplayer",2013-01-01 00:00:00.000,745.83,-400.98,1489,0.5009,"SteamCharts"
"Grand Theft Auto: San Andreas",2013-01-01 00:00:00.000,453.43,108.36,1221,0.3714,"SteamCharts"
"Batman: Arkham City GOTY",2013-01-01 00:00:00.000,1164.77,-107.41,2855,0.408,"SteamCharts"
"Call of Duty: Black Ops II",2013-01-01 00:00:00.000,2089.85,-1029.89,5661,0.3692,"SteamCharts"
"Hitman: Absolution",2013-01-01 00:00:00.000,2648.98,-1229.8,6545,0.4047,"SteamCharts"
"Battlefield: Bad Company™ 2",2013-01-01 00:00:00.000,683.69,36.92,1433,0.4771,"SteamCharts"
"Alan Wake",2013-01-01 00:00:00.000,253.64,-14.93,838,0.3027,"SteamCharts"
"ORION: Prelude",2013-01-01 00:00:00.000,3.55,0.33,19,0.1868,"SteamCharts"
"Max Payne 3",2013-01-01 00:00:00.000,905.12,126.29,3122,0.2899,"SteamCharts"
"Magicka",2013-01-01 00:00:00.000,1732.05,1240.63,11717,0.1478,"SteamCharts"
"Awesomenauts",2013-01-01 00:00:00.000,1138.17,131.45,3992,0.2851,"SteamCharts"
"Batman: Arkham Asylum GOTY Edition",2013-01-01 00:00:00.000,340.49,-24.01,972,0.3503,"SteamCharts"
"Amnesia: The Dark Descent",2013-01-01 00:00:00.000,252.96,65.19,910,0.278,"SteamCharts"
"APB Reloaded",2013-01-01 00:00:00.000,2923.16,278.02,5226,0.5593,"SteamCharts"
"Super Hexagon",2013-01-01 00:00:00.000,89.73,-13.89,181,0.4957,"SteamCharts"
"Call of Duty: World at War",2013-01-01 00:00:00.000,420.8,40.42,798,0.5273,"SteamCharts"
"Mirror's Edge",2013-01-01 00:00:00.000,142.82,-127.59,523,0.2731,"SteamCharts"
"Fallout 3 - Game of the Year Edition",2013-01-01 00:00:00.000,504.61,11.07,1037,0.4866,"SteamCharts"
"Arma 2: Operation Arrowhead",2013-01-01 00:00:00.000,4609.69,1466.94,9005,0.5119,"SteamCharts"
"Alien Swarm",2013-01-01 00:00:00.000,278.48,33.85,597,0.4665,"SteamCharts"
"Trine 2",2013-01-01 00:00:00.000,265.13,53.52,1364,0.1944,"SteamCharts"
"Spiral Knights",2013-01-01 00:00:00.000,1001.68,-165.39,1744,0.5744,"SteamCharts"
"Serious Sam 3: BFE",2013-01-01 00:00:00.000,365.7,13.39,1402,0.2608,"SteamCharts"
"Assassin's Creed II",2013-01-01 00:00:00.000,892.41,143.53,3080,0.2897,"SteamCharts"
"DmC Devil May Cry",2013-01-01 00:00:00.000,591.2,589.21,5731,0.1032,"SteamCharts"
"Call of Duty: Black Ops",2013-01-01 00:00:00.000,1061.18,-213.66,2244,0.4729,"SteamCharts"
"L.A. Noire",2013-01-01 00:00:00.000,546.3,111.35,1883,0.2901,"SteamCharts"
"Half-Life 2: Episode Two",2013-01-01 00:00:00.000,208.69,16.35,413,0.5053,"SteamCharts"
"Age of Empires® III (2007)",2013-01-01 00:00:00.000,1036.01,368.4,4568,0.2268,"SteamCharts"
"Orcs Must Die! 2",2013-01-01 00:00:00.000,1292.34,-432.05,5808,0.2225,"SteamCharts"
"Guns of Icarus Online",2013-01-01 00:00:00.000,86.9,9.99,492,0.1766,"SteamCharts"
"Brütal Legend",2013-01-01 00:00:00.000,0.57,0.56,7,0.0814,"SteamCharts"
"Antichamber",2013-01-01 00:00:00.000,14.24,14.17,2125,0.0067,"SteamCharts"
"Dino D-Day",2013-01-01 00:00:00.000,10.62,0.3,41,0.259,"SteamCharts"
"Counter-Strike: Condition Zero",2013-01-01 00:00:00.000,1662.2,31.26,3299,0.5039,"SteamCharts"
"The Darkness II",2013-01-01 00:00:00.000,76.05,8.97,168,0.4527,"SteamCharts"
"STAR WARS™: Knights of the Old Republic™",2013-01-01 00:00:00.000,622.44,254.61,2007,0.3101,"SteamCharts"
"Need for Speed: Hot Pursuit",2013-01-01 00:00:00.000,134.03,34.66,411,0.3261,"SteamCharts"
"Dungeon Defenders",2013-01-01 00:00:00.000,3655.14,604.81,9170,0.3986,"SteamCharts"
"Mass Effect 2",2013-01-01 00:00:00.000,915.56,313.04,2147,0.4264,"SteamCharts"
"Day of Defeat: Source",2013-01-01 00:00:00.000,1309.26,72.5,2692,0.4864,"SteamCharts"
"Bad Rats",2013-01-01 00:00:00.000,3.9,-1.04,14,0.2786,"SteamCharts"
"S.T.A.L.K.E.R.: Call of Pripyat",2013-01-01 00:00:00.000,203.46,33.42,349,0.583,"SteamCharts"
"Fallout 3",2013-01-01 00:00:00.000,74.4,0.45,161,0.4621,"SteamCharts"
"Moonbase Alpha",2013-01-01 00:00:00.000,33.79,4.63,78,0.4332,"SteamCharts"
"Warhammer 40,000: Space Marine",2013-01-01 00:00:00.000,475.3,-64.76,1110,0.4282,"SteamCharts"
"Grand Theft Auto: Vice City",2013-01-01 00:00:00.000,138.77,38.83,450,0.3084,"SteamCharts"
"Burnout Paradise: The Ultimate Box",2013-01-01 00:00:00.000,44.83,-0.15,117,0.3832,"SteamCharts"
"Aliens vs. Predator",2013-01-01 00:00:00.000,181.42,24.33,426,0.4259,"SteamCharts"
"Trine",2013-01-01 00:00:00.000,100.07,46.45,518,0.1932,"SteamCharts"
"Saints Row 2",2013-01-01 00:00:00.000,257.71,46.14,539,0.4781,"SteamCharts"
"RAGE",2013-01-01 00:00:00.000,843.25,311.29,3191,0.2643,"SteamCharts"
"Gotham City Impostors: Free To Play",2013-01-01 00:00:00.000,431.26,-40.01,897,0.4808,"SteamCharts"
"Dead Space",2013-01-01 00:00:00.000,134.27,42.5,278,0.483,"SteamCharts"
"Remember Me",2013-01-01 00:00:00.000,0.14,0.14,5,0.028,"SteamCharts"
"Deadlight",2013-01-01 00:00:00.000,115.24,-37.01,681,0.1692,"SteamCharts"
"Dead Space 2",2013-01-01 00:00:00.000,165.59,55.49,365,0.4537,"SteamCharts"
"Dragon Age: Origins - Ultimate Edition",2013-01-01 00:00:00.000,684.76,-50.66,1816,0.3771,"SteamCharts"
"Tropico 4",2013-01-01 00:00:00.000,1228.61,365.02,4690,0.262,"SteamCharts"
"Call of Duty 4: Modern Warfare",2013-01-01 00:00:00.000,350.91,6.7,742,0.4729,"SteamCharts"
"Kingdoms of Amalur: Reckoning™",2013-01-01 00:00:00.000,108.68,15.92,234,0.4644,"SteamCharts"
"Bully: Scholarship Edition",2013-01-01 00:00:00.000,142.32,82.12,324,0.4393,"SteamCharts"
"Natural Selection 2",2013-01-01 00:00:00.000,2051.16,213.6,5506,0.3725,"SteamCharts"
"TrackMania Nations Forever",2013-01-01 00:00:00.000,201.6,-21.29,452,0.446,"SteamCharts"
"Ultra Street Fighter IV",2013-01-01 00:00:00.000,477.05,38.39,781,0.6108,"SteamCharts"
"Psychonauts",2013-01-01 00:00:00.000,127.71,-44.65,459,0.2782,"SteamCharts"
"Half-Life 2: Episode One",2013-01-01 00:00:00.000,151.77,5.76,326,0.4656,"SteamCharts"
"AirMech Strike",2013-01-01 00:00:00.000,386.9,-297.87,745,0.5193,"SteamCharts"
"Defy Gravity",2013-01-01 00:00:00.000,0.18,0.03,3,0.06,"SteamCharts"
"Thomas Was Alone",2013-01-01 00:00:00.000,47.16,20.22,403,0.117,"SteamCharts"
"Deponia",2013-01-01 00:00:00.000,89.07,0.85,294,0.303,"SteamCharts"
"Fallout",2013-01-01 00:00:00.000,31.78,-15.32,89,0.3571,"SteamCharts"
"Sonic Generations",2013-01-01 00:00:00.000,121.38,-76.56,287,0.4229,"SteamCharts"
"RIFT",2013-01-01 00:00:00.000,347.82,-42.1,629,0.553,"SteamCharts"
"Crysis 2 Maximum Edition",2013-01-01 00:00:00.000,465.31,-154.49,1756,0.265,"SteamCharts"
"VVVVVV",2013-01-01 00:00:00.000,14.89,-4.34,43,0.3463,"SteamCharts"
"Assassin's Creed Brotherhood",2013-01-01 00:00:00.000,528.58,88.62,1476,0.3581,"SteamCharts"
"Scribblenauts Unlimited",2013-01-01 00:00:00.000,322.93,-238.81,1098,0.2941,"SteamCharts"
"Braid",2013-01-01 00:00:00.000,48.45,-40.24,134,0.3616,"SteamCharts"
"STAR WARS™ Empire at War: Gold Pack",2013-01-01 00:00:00.000,143.56,5.67,287,0.5002,"SteamCharts"
"Tribes: Ascend",2013-01-01 00:00:00.000,502.39,-0.01,929,0.5408,"SteamCharts"
"Little Inferno",2013-01-01 00:00:00.000,200.93,0.65,1125,0.1786,"SteamCharts"
"STAR WARS™ Republic Commando",2013-01-01 00:00:00.000,27.44,4.1,78,0.3518,"SteamCharts"
"Gear Up",2013-01-01 00:00:00.000,3.63,0.3,31,0.1171,"SteamCharts"
"F.E.A.R.",2013-01-01 00:00:00.000,58.58,-21.93,193,0.3035,"SteamCharts"
"Deus Ex: Game of the Year Edition",2013-01-01 00:00:00.000,84.85,30.29,343,0.2474,"SteamCharts"
"Mount & Blade: With Fire and Sword",2013-01-01 00:00:00.000,532.42,99.03,1497,0.3557,"SteamCharts"
"Dragon Age: Origins",2013-01-01 00:00:00.000,176.74,17.68,366,0.4829,"SteamCharts"
"Vampire: The Masquerade - Bloodlines",2013-01-01 00:00:00.000,72.15,-1.59,148,0.4875,"SteamCharts"
"Crysis",2013-01-01 00:00:00.000,233.4,-94.13,919,0.254,"SteamCharts"
"Half-Life 2: Deathmatch",2013-01-01 00:00:00.000,423.37,32.72,795,0.5325,"SteamCharts"
"Super Crate Box",2013-01-01 00:00:00.000,43.59,-9.61,97,0.4494,"SteamCharts"
"Assassin's Creed Revelations",2013-01-01 00:00:00.000,332.49,43.23,914,0.3638,"SteamCharts"
"Hitman: Blood Money",2013-01-01 00:00:00.000,134.09,-33.51,402,0.3336,"SteamCharts"
"Half-Life 2: Lost Coast",2013-01-01 00:00:00.000,29.79,-0.32,69,0.4317,"SteamCharts"
"Lucius",2013-01-01 00:00:00.000,17.59,3.24,89,0.1976,"SteamCharts"
"Assassin's Creed",2013-01-01 00:00:00.000,212.82,15.5,1017,0.2093,"SteamCharts"
"Endless Space® - Definitive Edition",2013-01-01 00:00:00.000,1216.71,-938.03,3816,0.3188,"SteamCharts"
"STAR WARS™ Jedi Knight: Jedi Academy™",2013-01-01 00:00:00.000,75.56,12.16,178,0.4245,"SteamCharts"
"Anno 2070",2013-01-01 00:00:00.000,2768.76,1456.61,8065,0.3433,"SteamCharts"
"Warhammer 40,000: Dawn of War II",2013-01-01 00:00:00.000,711.63,73.35,1545,0.4606,"SteamCharts"
"S.T.A.L.K.E.R.: Clear Sky",2013-01-01 00:00:00.000,86.65,17.16,188,0.4609,"SteamCharts"
"Homefront",2013-01-01 00:00:00.000,215.53,33.16,522,0.4129,"SteamCharts"
"FlatOut 2",2013-01-01 00:00:00.000,25.97,-1.53,71,0.3658,"SteamCharts"
"Machinarium",2013-01-01 00:00:00.000,34.24,-3.56,142,0.2411,"SteamCharts"
"PROTOTYPE 2",2013-01-01 00:00:00.000,253.03,-11.51,849,0.298,"SteamCharts"
"Orcs Must Die!",2013-01-01 00:00:00.000,176.05,10.43,916,0.1922,"SteamCharts"
"Serious Sam 2",2013-01-01 00:00:00.000,21.51,-4.43,84,0.2561,"SteamCharts"
"F.E.A.R. 3",2013-01-01 00:00:00.000,173.58,-36.76,483,0.3594,"SteamCharts"
"Supreme Commander 2",2013-01-01 00:00:00.000,585.53,3.79,1232,0.4753,"SteamCharts"
"Far Cry 2",2013-01-01 00:00:00.000,257.83,29.02,1244,0.2073,"SteamCharts"
"Zombie Panic! Source",2013-01-01 00:00:00.000,235.99,-13.46,470,0.5021,"SteamCharts"
"Half-Life: Opposing Force",2013-01-01 00:00:00.000,50.2,3.14,126,0.3984,"SteamCharts"
"Cave Story+",2013-01-01 00:00:00.000,139.04,30.41,479,0.2903,"SteamCharts"
"Recettear: An Item Shop's Tale",2013-01-01 00:00:00.000,121.23,13.64,375,0.3233,"SteamCharts"
"Supreme Commander: Forged Alliance",2013-01-01 00:00:00.000,345.18,98.64,717,0.4814,"SteamCharts"
"The Ship",2013-01-01 00:00:00.000,27.48,-13.11,123,0.2234,"SteamCharts"
"Company of Heroes - Legacy Edition",2013-01-01 00:00:00.000,1075.2,-501.73,2354,0.4568,"SteamCharts"
"Fallout 2",2013-01-01 00:00:00.000,45.25,0.02,110,0.4114,"SteamCharts"
"Grand Theft Auto III",2013-01-01 00:00:00.000,48.44,17,150,0.3229,"SteamCharts"
"Sonic Adventure™ 2",2013-01-01 00:00:00.000,146.03,-73.51,450,0.3245,"SteamCharts"
"E.Y.E: Divine Cybermancy",2013-01-01 00:00:00.000,35.1,-4.98,112,0.3134,"SteamCharts"
"Primal Carnage",2013-01-01 00:00:00.000,122.41,2.77,279,0.4387,"SteamCharts"
"Duke Nukem Forever",2013-01-01 00:00:00.000,128.73,-6.23,282,0.4565,"SteamCharts"
"Legend of Grimrock",2013-01-01 00:00:00.000,465.47,-116.82,1604,0.2902,"SteamCharts"
"Secret World Legends",2013-01-01 00:00:00.000,937.49,307.18,2070,0.4529,"SteamCharts"
"Binary Domain",2013-01-01 00:00:00.000,38.46,-4.69,95,0.4048,"SteamCharts"
"Command and Conquer: Red Alert 3",2013-01-01 00:00:00.000,119.45,6.34,275,0.4344,"SteamCharts"
"Dark Messiah of Might & Magic Single Player",2013-01-01 00:00:00.000,40.2,7.96,133,0.3023,"SteamCharts"
"Fable - The Lost Chapters",2013-01-01 00:00:00.000,266,153.15,1347,0.1975,"SteamCharts"
"THE KING OF FIGHTERS XIII STEAM EDITION",2013-01-01 00:00:00.000,0.14,0.12,3,0.0467,"SteamCharts"
"Baldur's Gate: Enhanced Edition",2013-01-01 00:00:00.000,352.67,352.66,1584,0.2226,"SteamCharts"
"BEEP",2013-01-01 00:00:00.000,0.45,-0.09,4,0.1125,"SteamCharts"
"DOOM 3: BFG Edition",2013-01-01 00:00:00.000,188,0.13,638,0.2947,"SteamCharts"
"Serious Sam HD: The First Encounter",2013-01-01 00:00:00.000,40.12,-3.67,127,0.3159,"SteamCharts"
"Max Payne",2013-01-01 00:00:00.000,53.29,23.81,259,0.2058,"SteamCharts"
"The Tiny Bang Story",2013-01-01 00:00:00.000,7.74,-0.52,33,0.2345,"SteamCharts"
"Worms Revolution",2013-01-01 00:00:00.000,237.91,-4.06,1020,0.2332,"SteamCharts"
"Dungeons of Dredmor",2013-01-01 00:00:00.000,196.3,-16.5,396,0.4957,"SteamCharts"
"Risen",2013-01-01 00:00:00.000,29.85,1.92,76,0.3928,"SteamCharts"
"Pirates, Vikings, & Knights II",2013-01-01 00:00:00.000,104.65,-13.58,221,0.4735,"SteamCharts"
"Torchlight",2013-01-01 00:00:00.000,284.35,68.27,837,0.3397,"SteamCharts"
"Half-Life: Blue Shift",2013-01-01 00:00:00.000,23.44,1.88,54,0.4341,"SteamCharts"
"Gothic II: Gold Edition",2013-01-01 00:00:00.000,26.93,3.49,74,0.3639,"SteamCharts"
"Half-Life: Source",2013-01-01 00:00:00.000,44.2,0.62,114,0.3877,"SteamCharts"
"The Ultimate DOOM",2013-01-01 00:00:00.000,10.05,2.87,63,0.1595,"SteamCharts"
"Prototype",2013-01-01 00:00:00.000,106.26,10.44,522,0.2036,"SteamCharts"
"SpaceChem",2013-01-01 00:00:00.000,39.02,-5.83,87,0.4485,"SteamCharts"
"Vindictus",2013-01-01 00:00:00.000,706.55,1.6,2170,0.3256,"SteamCharts"
"Alan Wake's American Nightmare",2013-01-01 00:00:00.000,38.63,-6.19,125,0.309,"SteamCharts"
"Botanicula",2013-01-01 00:00:00.000,26.99,-0.78,96,0.2811,"SteamCharts"
"Worms Armageddon",2013-01-01 00:00:00.000,4.71,-1.5,19,0.2479,"SteamCharts"
"BRINK",2013-01-01 00:00:00.000,58.17,-3.72,147,0.3957,"SteamCharts"
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2013-01-01 00:00:00.000,144.81,-180.17,380,0.3811,"SteamCharts"
"Tiny and Big: Grandpa's Leftovers",2013-01-01 00:00:00.000,10.36,-15.35,29,0.3572,"SteamCharts"
"World of Goo",2013-01-01 00:00:00.000,27.49,-12.51,97,0.2834,"SteamCharts"
"Overlord",2013-01-01 00:00:00.000,49.39,24.87,288,0.1715,"SteamCharts"
"Day of Defeat",2013-01-01 00:00:00.000,319.62,1.55,654,0.4887,"SteamCharts"
"Jet Set Radio",2013-01-01 00:00:00.000,18.53,-11.03,70,0.2647,"SteamCharts"
"Gothic",2013-01-01 00:00:00.000,7.29,-0.5,27,0.27,"SteamCharts"
"RPG Maker VX Ace",2013-01-01 00:00:00.000,209.84,-5.74,469,0.4474,"SteamCharts"
"Team Fortress Classic",2013-01-01 00:00:00.000,89,1.21,190,0.4684,"SteamCharts"
"Defense Grid: The Awakening",2013-01-01 00:00:00.000,259.43,107.39,971,0.2672,"SteamCharts"
"Anomaly Warzone Earth",2013-01-01 00:00:00.000,16.06,5.01,65,0.2471,"SteamCharts"
"Hearts of Iron III",2013-01-01 00:00:00.000,339.65,30.8,631,0.5383,"SteamCharts"
"Caster",2013-01-01 00:00:00.000,0.66,-0.36,11,0.06,"SteamCharts"
"F.E.A.R. 2: Project Origin",2013-01-01 00:00:00.000,89.6,-6.56,208,0.4308,"SteamCharts"
"Hard Reset",2013-01-01 00:00:00.000,21.57,-2.49,55,0.3922,"SteamCharts"
"Medal of Honor(TM) Single Player",2013-01-01 00:00:00.000,12.17,-1.37,30,0.4057,"SteamCharts"
