2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
Municipal Affairs / Housing,Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,Municipal Affairs/Housing, Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,2017 Expenses.Actual2015–16,1.0
Interest on Debt3,,Interest on Debt18,,Interest on Debt1,,Interest on Debt18,,2017 Expenses.Actual2015–16,10967.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Actual2015–16,1088.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Actual2015–16,1088.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Actual2015–16,1088.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Actual2015–16,1088.0
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,,,2017 Expenses.Actual2015–16,839.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Actual2015–16,929.0
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Base),,Community Safety and Correctional Services (Base),,,,2017 Expenses.Actual2015–16,2687.0
Government and Consumer Services (Total),,Government and Consumer Services, Realty,Government and Consumer Services (Total),,Government and Consumer Services, Realty,2017 Expenses.Actual2015–16,602.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,2017 Expenses.Actual2015–16,602.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,2017 Expenses.Actual2015–16,602.0
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",,,,,,,2017 Expenses.Actual2015–16,883.0
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,,,,,,,2017 Expenses.Actual2015–16,0.0
"Children, Community and Social Services",Community and Social Services (Base),,,,,,,2017 Expenses.Actual2015–16,11298.0
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),,,,,,,2017 Expenses.Actual2015–16,2565.0
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",,,,,,,2017 Expenses.Actual2015–16,908.0
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,,,,,,,2017 Expenses.Actual2015–16,0.0
"Economic Development and Growth / Research, Innovation and Science (Total)",,,,,,,,2017 Expenses.Actual2015–16,908.0
Education,Education (Base),,,,,,,2017 Expenses.Actual2015–16,24998.0
"Energy, Northern Development and Mines",Energy (Base),,,,,,,2017 Expenses.Actual2015–16,328.0
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,,,,,,,2017 Expenses.Actual2015–16,0.0
Environment and Climate Change,Environment and Climate Change (Base),,,,,,,2017 Expenses.Actual2015–16,503.0
Environment and Climate Change,Green Investment Fund Initiatives,,,,,,,2017 Expenses.Actual2015–16,0.0
Environment and Climate Change (Total),,,,,,,,2017 Expenses.Actual2015–16,503.0
Executive Offices,Executive Offices (Base),,,,,,,2017 Expenses.Actual2015–16,35.0
Finance,Finance (Base),,,,,,,2017 Expenses.Actual2015–16,1048.0
"Francophone Affairs, Office of (Total)",,,,,,,,2017 Expenses.Actual2015–16,8.0
Health and Long-Term Care,Health and Long-Term Care (Base),,,,,,,2017 Expenses.Actual2015–16,51011.0
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,,,,,,,2017 Expenses.Actual2015–16,0.0
Health and Long-Term Care (Total),,,,,,,,2017 Expenses.Actual2015–16,51011.0
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),,,,,,,2017 Expenses.Actual2015–16,75.0
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,,,,,,,2017 Expenses.Actual2015–16,0.0
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,,,,,,,2017 Expenses.Actual2015–16,5.0
Indigenous Relations and Reconciliation (Total),,,,,,,,2017 Expenses.Actual2015–16,79.0
Infrastructure,Infrastructure (Base),,,,,,,2017 Expenses.Actual2015–16,213.0
Labour (Total),,,,,,,,2017 Expenses.Actual2015–16,305.0
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),,,,,,,2017 Expenses.Actual2015–16,923.0
Municipal Affairs / Housing,Green Investment Fund Initiatives,,,,,,,2017 Expenses.Actual2015–16,0.0
Natural Resources and Forestry,Natural Resources and Forestry (Base),,,,,,,2017 Expenses.Actual2015–16,723.0
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",,,,,,,2017 Expenses.Actual2015–16,1431.0
"Tourism, Culture and Sport (Total)",,,,,,,,2017 Expenses.Actual2015–16,2270.0
Transportation,Transportation (Base),,,,,,,2017 Expenses.Actual2015–16,3284.0
Transportation,Green Investment Fund Initiatives,,,,,,,2017 Expenses.Actual2015–16,0.0
Treasury Board Secretariat,Treasury Board Secretariat (Base),,,,,,,2017 Expenses.Actual2015–16,221.0
,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,2017 Expenses.Interim2016–17,
,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,2017 Expenses.Interim2016–17,
,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,2017 Expenses.Interim2016–17,
,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,2017 Expenses.Interim2016–17,
,,Attorney General, COVID‑19 Time-Limited Funding7,,,Attorney General, COVID‑19 Time-Limited Funding7,2017 Expenses.Interim2016–17,
,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",2017 Expenses.Interim2016–17,
,,Attorney General (Base),,,,Attorney General (Base),,2017 Expenses.Interim2016–17,
,,COVID‑19 Health Response21,,,,COVID‑19 Health Response21,,2017 Expenses.Interim2016–17,
,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,2017 Expenses.Interim2016–17,
,,Children and Youth Services (Total),,Children and Youth Services (Total),,,,2017 Expenses.Interim2016–17,
,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,2017 Expenses.Interim2016–17,
,,Colleges and Universities, COVID‑19 Time-Limited Funding9,,,Colleges and Universities, COVID‑19 Time-Limited Funding9,2017 Expenses.Interim2016–17,
,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,2017 Expenses.Interim2016–17,
,,Colleges and Universities, Student Financial Assistance,,,Colleges and Universities, Student Financial Assistance,2017 Expenses.Interim2016–17,
,,Colleges and Universities (Base),,,,Colleges and Universities (Base),,2017 Expenses.Interim2016–17,
,,Colleges and Universities6 (Total),,,,Colleges and Universities6 (Total),,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,2017 Expenses.Interim2016–17,
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,2017 Expenses.Interim2016–17,
,,Education, COVID‑19 Time-Limited Funding12,,,Education, COVID‑19 Time-Limited Funding12,2017 Expenses.Interim2016–17,
,,Education (Base),,Education (Base),,Education (Base),,2017 Expenses.Interim2016–17,
,,Emergency Forest Firefighting,,Emergency Forest Firefighting,,,,2017 Expenses.Interim2016–17,
,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,2017 Expenses.Interim2016–17,
,,"Energy, Northern Development and Mines    (Base)13",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines    (Base)13",,2017 Expenses.Interim2016–17,
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,2017 Expenses.Interim2016–17,
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks", Time-Limited Investments,"Environment, Conservation and Parks",,"Environment, Conservation and Parks", Time-Limited Investments,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2017 Expenses.Interim2016–17,
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2017 Expenses.Interim2016–17,
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,2017 Expenses.Interim2016–17,
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,2017 Expenses.Interim2016–17,
,,Finance, COVID‑19 Response: Support for People and Jobs Fund,,,Finance, COVID‑19 Response: Support for People and Jobs Fund,2017 Expenses.Interim2016–17,
,,Finance, Time-Limited Investments,,,Finance, Time-Limited Investments,2017 Expenses.Interim2016–17,
,,Finance, Investment Management Corporation of Ontario9,,,Finance, Investment Management Corporation of Ontario9,2017 Expenses.Interim2016–17,
,,Finance, COVID‑19 Time-Limited Funding17,,,Finance, COVID‑19 Time-Limited Funding17,2017 Expenses.Interim2016–17,
,,Finance (Base),,Finance (Base),,Finance (Base),,2017 Expenses.Interim2016–17,
,,Francophone Affairs, COVID‑19 Time-Limited Funding18,,,Francophone Affairs, COVID‑19 Time-Limited Funding18,2017 Expenses.Interim2016–17,
,,Francophone Affairs (Base),,,,Francophone Affairs (Base),,2017 Expenses.Interim2016–17,
,,Francophone Affairs (Total),,Francophone Affairs (Total),,Francophone Affairs (Total),,2017 Expenses.Interim2016–17,
,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,2017 Expenses.Interim2016–17,
,,Health (Total),,,,Health (Total),,2017 Expenses.Interim2016–17,
,,Health (Total)20,,,,Health (Total)20,,2017 Expenses.Interim2016–17,
,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2017 Expenses.Interim2016–17,
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2017 Expenses.Interim2016–17,
,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,2017 Expenses.Interim2016–17,
,,Indigenous Affairs (Base),,Indigenous Affairs (Base),,Indigenous Affairs (Base),,2017 Expenses.Interim2016–17,
,,Indigenous Affairs (Total),,Indigenous Affairs (Total),,Indigenous Affairs (Total),,2017 Expenses.Interim2016–17,
,,Infrastructure, Municipal Infrastructure Program Investments12,,,Infrastructure, Municipal Infrastructure Program Investments12,2017 Expenses.Interim2016–17,
,,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),,,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),2017 Expenses.Interim2016–17,
,,Infrastructure, COVID‑19 Time-Limited Funding26,,,Infrastructure, COVID‑19 Time-Limited Funding26,2017 Expenses.Interim2016–17,
,,Infrastructure (Base),,Infrastructure (Base),,Infrastructure (Base),,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,,,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,,,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,2017 Expenses.Interim2016–17,
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,2017 Expenses.Interim2016–17,
,,Long-Term Care (Total),,Health and Long-Term Care (Total),,Long-Term Care (Total),,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing, Safe Restart Agreement,,,Municipal Affairs and Housing, Safe Restart Agreement,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2017 Expenses.Interim2016–17,
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2017 Expenses.Interim2016–17,
,,PRRT Savings,,PRRT Savings,,,,2017 Expenses.Interim2016–17,
,,Seniors and Accessibility, Time-Limited Investments,,,Seniors and Accessibility, Time-Limited Investments,2017 Expenses.Interim2016–17,
,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,2017 Expenses.Interim2016–17,
,,Seniors and Accessibility (Base),,,,Seniors and Accessibility (Base),,2017 Expenses.Interim2016–17,
,,Seniors and Accessibility (Total),,,,Seniors and Accessibility (Total),,2017 Expenses.Interim2016–17,
,,Solicitor    General, COVID‑19 Time-Limited Funding34,,,Solicitor    General, COVID‑19 Time-Limited Funding34,2017 Expenses.Interim2016–17,
,,Solicitor    General (Base),,,,Solicitor    General (Base),,2017 Expenses.Interim2016–17,
,,Solicitor General (Total),,,,Solicitor General (Total),,2017 Expenses.Interim2016–17,
,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,2017 Expenses.Interim2016–17,
,,Transportation, COVID‑19 Time-Limited Funding36,,,Transportation, COVID‑19 Time-Limited Funding36,2017 Expenses.Interim2016–17,
,,Transportation, Federal–Provincial Infrastructure Programs,,,Transportation, Federal–Provincial Infrastructure Programs,2017 Expenses.Interim2016–17,
,,Transportation, Safe Restart Agreement,,,Transportation, Safe Restart Agreement,2017 Expenses.Interim2016–17,
,,Transportation (Base),,Transportation (Base),,Transportation (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2017 Expenses.Interim2016–17,
,,Executive Offices, Disaster Relief,Executive Offices, Disaster Relief,,,2017 Expenses.Interim2016–17,
,,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,2017 Expenses.Interim2016–17,
Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,,,2017 Expenses.Interim2016–17,17.0
Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,,,2017 Expenses.Interim2016–17,7807.0
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,2017 Expenses.Interim2016–17,100.0
Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,2017 Expenses.Interim2016–17,1942.0
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,,,2017 Expenses.Interim2016–17,23.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,11720.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,4447.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,11720.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,4447.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,11720.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,4447.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,11720.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2017 Expenses.Interim2016–17,4447.0
Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,,,2017 Expenses.Interim2016–17,105.0
