ID,School Name,URL Address,Address,Postal Code,Telephone Number,FAX Number,Email Address,MRT,BUS,Principal Name,Region,Zone,Type Of schools,Nature Of schools,Sessions,Level Of Schools,SAP,Autonomous,Gifted Education Programme,Integrated Programme,Mother Tongue Chinese,Mother Tongue Malay,Mother Tongue Tamil
149,"JUYING SECONDARY SCHOOL","http://juyingsec.moe.edu.sg","33   JURONG WEST STREET 91",649038,63089898,67932835,"JUYING_SS@MOE.EDU.SG","BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241","MDM SOH BENG MUI","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
155,"KRANJI SECONDARY SCHOOL","http://www.kranjisec.moe.edu.sg","61   CHOA CHU KANG STREET 51",689333,67662464,67662095,"kranji_ss@moe.edu.sg","CHUA CHU KANG MRT, YEW TEE MRT","","MR GOH SOON HOE","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
160,"LOYANG VIEW SECONDARY SCHOOL","http://www.loyangviewsec.moe.edu.sg","12   PASIR RIS STREET 11",519073,65821727,65810557,"loyangview_ss@moe.edu.sg","Pasir Ris MRT","12, 21, 39, 53, 81, 109, 359, 518","MR LEE HAK BOON","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
165,"MARSILING SECONDARY SCHOOL","http://www.marsilingsec.moe.edu.sg","12   MARSILING ROAD",739110,68941413,68946156,"MARSILING_SS@MOE.EDU.SG","MARSILING MRT","913, 911","MR GOH AIK CHOON","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
168,"MAYFLOWER SECONDARY SCHOOL","http://www.mayflowersec.moe.edu.sg","2    ANG MO KIO STREET 21",569384,64577783,64583284,"MAYFLOWER_SS@MOE.EDU.SG","ANG MO KIO MRT, MAYFLOWER MRT (Targeted to open in 2020)","71, 76, 132, 165, 166, 169, 262, 265, 268, 269","MDM LEE EET FONG","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
171,"MERIDIAN SECONDARY SCHOOL","http://www.meridiansec.moe.edu.sg","31   PASIR RIS STREET 51",518901,65831387,65836467,"meridian_sec@moe.edu.sg","Pasir Ris MRT","39, 53, 81, 89, 109, 359, 403, 518","MDM TAN HWEE TSIAN HILDA","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
186,"NAVAL BASE SECONDARY SCHOOL","http://www.navalbasesec.moe.edu.sg","901  YISHUN RING ROAD",768689,62571996,67557706,"NBSS@MOE.EDU.SG","KHATIB MRT","39, 85, 117, 670, 807, 811, 812, 851, 852, 853, 854, 855, 857, 858, 965, 969","MR SULAIMAN B MOHAMAD YUSOF","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
188,"NEW TOWN SECONDARY SCHOOL","http://www.newtownsec.moe.edu.sg","1020 DOVER ROAD",139657,67754140,67752310,"ntss@moe.edu.sg","DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183","MDM TAN SIEW HONG (MRS SNG)","QUEENSTOWN","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
194,"NORTH VISTA SECONDARY SCHOOL","http://www.northvistasec.moe.edu.sg","11   RIVERVALE LINK",545081,68793930,68793931,"northvistass@moe.edu.sg","SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119","MR YAP THIAM CHUAN","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
195,"NORTHBROOKS SECONDARY SCHOOL","http://www.northbrookssec.moe.edu.sg","585  YISHUN RING ROAD",768692,67524311,67566110,"NORTHBROOKS@MOE.EDU.SG","YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103","MR CHAN CHOON LOONG","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
197,"NORTHLAND SECONDARY SCHOOL","http://www.northlandsec.moe.edu.sg","3    YISHUN STREET 22",768578,62576781,62573634,"NORTHLAND_SS@MOE.EDU.SG","YISHUN MRT","811, 804, 800","MDM TAN SIEW WOON","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
204,"ORCHID PARK SECONDARY SCHOOL","http://www.orchidparksec.moe.edu.sg","10   YISHUN STREET 81",768454,67598547,67588770,"opss@moe.edu.sg","KHATIB MRT","","MR SHAWAL BIN HUSSIN","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
205,"OUTRAM SECONDARY SCHOOL","http://www.outramsec.moe.edu.sg","3    YORK HILL",168622,67334077,62352337,"OSS@MOE.EDU.SG","OUTRAM PARK MRT, CHINATOWN MRT","174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64","MR BOO HIAN KOK","CENTRAL","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
208,"PASIR RIS CREST SECONDARY SCHOOL","http://www.prcss.moe.edu.sg","11   PASIR RIS STREET 41",518934,65811655,65813226,"prcss@moe.edu.sg","Pasir Ris MRT","358, 17, 81, 12, 3","MRS KOH CAIYU","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
210,"PASIR RIS SECONDARY SCHOOL","http://pasirrissec.moe.edu.sg","390  TAMPINES STREET 21",529400,65010800,65010900,"prss@moe.edu.sg","TAMPINES MRT, TAMPINES EAST MRT,  TAMPINES WEST MRT","3, 4, 8, 10, 15, 18, 19, 20, 21, 22, 23, 27, 28, 29, 31, 37, 38, 39, 46, 65, 67, 68, 69, 72, 81, 127, 129, 168, 291, 292, 293, 298, 969","MDM GRACE TAN BEE SIM","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
215,"PEI HWA SECONDARY SCHOOL","http://www.peihwasec.moe.edu.sg","21   FERNVALE LINK",797702,65009580,63438326,"peihwasec@moe.edu.sg","SENGKANG MRT, LAYAR LRT","50, 70, 86, 103, 163, 854","MDM YONG LI LING BELINDA","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
217,"PEICAI SECONDARY SCHOOL","http://www.peicaisec.moe.edu.sg","10   SERANGOON AVENUE 4",556094,62884159,62830480,"peicai_ss@moe.edu.sg","SERANGOON MRT","22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853","MR LIM KOK HWA","SERANGOON","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
218,"PEIRCE SECONDARY SCHOOL","http://www.peircesec.moe.edu.sg","10   SIN MING WALK",575566,64576454,64576448,"PEIRCE_SS@MOE.EDU.SG","ANG MO KIO MRT, BISHAN MRT, MARYMOUNT MRT, BRIGHT HILL MRT (target opening in Q3, 2021)","52, 132, 162, 163, 165, 166, 167, 410, 855, 980","MDM BETTY CHANG","BISHAN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
220,"PING YI SECONDARY SCHOOL","http://pingyisec.moe.edu.sg","61   CHAI CHEE STREET",468980,64489580,64442731,"pyss@moe.edu.sg","Bedok MRT","26, 222, 222B, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 854, 60, 87","MR ANG CHEE SENG","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
228,"PUNGGOL SECONDARY SCHOOL","http://www.punggolsec.moe.edu.sg","51   EDGEFIELD PLAINS",828870,64897851,64897859,"PUNGGOL_SS@MOE.EDU.SG","PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386","MS TOH ENG BENG ANGELINE","PUNGGOL","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
233,"QUEENSTOWN SECONDARY SCHOOL","http://www.queenstownsec.moe.edu.sg","1    STRATHMORE ROAD",148800,64741055,64741295,"qtss@moe.edu.sg","REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970","MDM RASIDAH BTE RAHIM","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
234,"QUEENSWAY SECONDARY SCHOOL","http://www.queenswaysec.moe.edu.sg","2A   MARGARET DRIVE",149295,64741421,64741302,"QSS@moe.edu.sg","COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970","MR TAN CHONG TZE, PETER","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
240,"REGENT SECONDARY SCHOOL","http://regentsec.moe.edu.sg","50   CHOA CHU KANG NORTH 5",689621,67653828,67653413,"REGENT_SS@MOE.EDU.SG","YEW TEE MRT, CHOA CHU KANG MRT","307, 160, 170, 178, 925, 927, 960, 961, 979","MR LEONG KOK KEE","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
244,"RIVERSIDE SECONDARY SCHOOL","http://www.riversidesec.moe.edu.sg","3    WOODLANDS STREET 81",738524,62699631,63683677,"RIVERSIDE_SS@MOE.EDU.SG","WOODLANDS MRT","858, 900, 911, 913, 964, 962, 965, 969, 169, 903","MISS THAM YOKE CHUN","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
251,"SEMBAWANG SECONDARY SCHOOL","http://www.sembawangsec.moe.edu.sg","30   SEMBAWANG CRESCENT",757704,67566760,67585380,"SEMBAWANG_SS@MOE.EDU.SG","SEMBAWANG MRT","859, 859A, 962","MR JASWANT SINGH","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
253,"SENG KANG SECONDARY SCHOOL","http://www.sengkangsec.moe.edu.sg","10   COMPASSVALE LANE",545090,63887258,63887254,"skss@moe.edu.sg","SENGKANG MRT, RANGGUNG LRT","27, 80, 85, 86, 87, 89, 89E, 163, 163M, 372","MR KOH YIAK KHENG","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
255,"SERANGOON GARDEN SECONDARY SCHOOL","http://www.sgs.edu.sg","21   SERANGOON NORTH AVENUE 1",555889,62889227,62888695,"sgss@moe.edu.sg","SERANGOON MRT, ANG MO KIO MRT","25, 55, 73, 74, 74e, 76, 132, 165, 315","MDM GOH MIEN HUI VALERIE","SERANGOON","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
256,"SERANGOON SECONDARY SCHOOL","http://www.serangoonsec.moe.edu.sg","11   UPPER SERANGOON VIEW",534237,63851589,63851635,"SERANGOON_SS@MOE.EDU.SG","HOUGANG MRT, KANGKAR LRT","62, 74, 102, 113, 119, 136, 147, 324","MDM TAY SIOK HWA","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
283,"SWISS COTTAGE SECONDARY SCHOOL","http://www.swisscottagesec.moe.edu.sg","3    BUKIT BATOK STREET 34",659322,65637173,65693028,"SCSS@MOE.EDU.SG","BUKIT GOMBAK MRT","187, 188, 985, 945","MR SHERWIN CHENG SAN SHIAN","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
287,"TAMPINES SECONDARY SCHOOL","https://www.tampinessec.moe.edu.sg","252  TAMPINES ST 12",529427,67835423,67843059,"TPSS@MOE.EDU.SG","Tampines MRT","3,  8,  10,  15,  17,  18,  20,  21,  23,  27,  28,  31,  34,  39,  59,  65,  129,  168,  292,  298,  518","MR LAN MINGJUN","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
288,"TANGLIN SECONDARY SCHOOL","http://www.tanglinsec.moe.edu.sg","301  WEST COAST ROAD",127391,64248200,67734457,"tanglin_ss@moe.edu.sg","CLEMENTI MRT","30, 51, 78, 143, 285, 655","MR CHONG JACK SHENG","CLEMENTI","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
295,"TECK WHYE SECONDARY SCHOOL","http://www.teckwhyesec.moe.edu.sg","31   TECK WHYE CRESCENT",688848,67691386,67630487,"TWSS@MOE.EDU.SG","CHUA CHU KANG MRT, PHOENIX LRT","975, 985, 190, 982E","MR N SIVARAJAN","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
302,"UNITY SECONDARY SCHOOL","http://www.unitysec.moe.edu.sg","20   CHOA CHU KANG STREET 62",689143,67671070,67654189,"UNITY_SS@MOE.EDU.SG","YEW TEE MRT","","MDM AINI BTE MAAROF","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
310,"WEST SPRING SECONDARY SCHOOL","http://www.westspringsec.moe.edu.sg","61   SENJA  ROAD",677737,68920369,68929468,"westspringss@moe.edu.sg","JELAPANG LRT, SENJA LRT","920, 972, 976","MR TAN CHIN ENG ADOLPHUS","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
313,"WESTWOOD SECONDARY SCHOOL","http://www.westwoodsec.moe.edu.sg","11   JURONG WEST STREET 25",648350,67929737,67929738,"WESTWOOD_SS@MOE.EDU.SG","BOON LAY MRT","172, 181, 181M, 185, 199, 405, 974","MR ABDUL HARRIS B SUMARDI","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
315,"WHITLEY SECONDARY SCHOOL","http://www.whitleysec.moe.edu.sg","30   BISHAN STREET 24",579747,64561336,64591330,"WHITLEY_SS@MOE.EDU.SG","BISHAN MRT, MARYMOUNT MRT","13, 52, 54, 74, 74E, 88, 162, 162M,  588, 410, 851, 852","MDM S SAROJA","BISHAN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
317,"WOODGROVE SECONDARY SCHOOL","https://woodgrovesec.moe.edu.sg/","3    WOODLANDS AVENUE 6",738990,68932564,68934458,"woodgrove_ss@moe.edu.sg","WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M","MR CHUA CHOR HUAT","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
320,"WOODLANDS RING SECONDARY SCHOOL","http://www.woodlandsringsec.moe.edu.sg","10   WOODLANDS RING ROAD",738239,63643712,63643713,"wrss@moe.edu.sg","ADMIRALTY MRT","","MDM NG SIEW BEE","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
321,"WOODLANDS SECONDARY SCHOOL","http://www.woodlandssec.moe.edu.sg","11   MARSILING ROAD",739111,68494400,62691774,"wdl_ss@moe.edu.sg","MARSILING MRT, WOODLANDS MRT","913, 913M, 913T, 178, 856, 903","MDM TAN YANG FERN","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
330,"YIO CHU KANG SECONDARY SCHOOL","http://www.yiochukangsec.moe.edu.sg","3063 ANG MO KIO AVENUE 5",569868,64560669,65522927,"yckss@moe.edu.sg","YIO CHU KANG MRT","13, 45, 86, 138, 162, 269, 851, 852, 853","MRS LIM CAROL","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
333,"YISHUN SECONDARY SCHOOL","http://www.yishunsec.moe.edu.sg","4    YISHUN STREET 71",768516,68767129,67557748,"YISHUN_SS@MOE.EDU.SG","YISHUN MRT, KHATIB MRT","167,  169,  171,  800,  807, 811, 812,  856,  858,  859,  860,  969, 980","MRS REGINA LEE","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
336,"YUAN CHING SECONDARY SCHOOL","http://www.yuanchingsec.moe.edu.sg","103  YUAN CHING ROAD",618654,62612489,62616275,"YCSS@MOE.EDU.SG","LAKESIDE MRT","98, 154, 154A, 180, 182, 187, 240, 240A, 246","MS NG SOOK KIT","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
338,"YUHUA SECONDARY SCHOOL","http://www.yuhuasec.moe.edu.sg","35   JURONG WEST STREET 41",649406,65661985,65696689,"YUHUA_SS@MOE.EDU.SG","LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502","MR PANG CHIN KEAT, KEVIN","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
340,"YUSOF ISHAK SECONDARY SCHOOL","http://www.yusofishaksec.moe.edu.sg","11   BUKIT BATOK STREET 25",658712,65009800,65675502,"yiss@moe.edu.sg","BUKIT BATOK MRT","61, 66, 77, 106, 157, 174, 178, 506, 852, 963","MDM LEE WEE LIN MAUREEN","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
344,"ZHENGHUA SECONDARY SCHOOL","http://www.zhenghuasec.moe.edu.sg","91   SENJA ROAD",677741,67639455,67633577,"ZHENGHUA_SS@MOE.EDU.SG","Jelapang LRT","920, 922, 976","MR LIN YUCHENG EUGENE","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
179,"NAN HUA HIGH SCHOOL","http://www.nanhuahigh.moe.edu.sg","41   CLEMENTI AVENUE 1",129956,67788303,67751956,"nhhs@moe.edu.sg","CLEMENTI MRT","14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963","MRS TAN JONG LEK","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","Yes","Yes","No","No","Chinese","na","na"
87,"DUNMAN HIGH SCHOOL","http://www.dunmanhigh.moe.edu.sg","10   TANJONG RHU ROAD",436895,63450533,63442316,"DHS@MOE.EDU.SG","ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196","MR LOW TECK ENG TONY","KALLANG","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","MIXED LEVELS","Yes","Yes","Yes","Yes","Chinese","na","na"
241,"RIVER VALLEY HIGH SCHOOL","https://rivervalleyhigh.moe.edu.sg/","6    BOON LAY AVENUE",649961,65678115,65677351,"RVHS@MOE.EDU.SG","BOON LAY MRT, LAKESIDE MRT","99, 157, 172, 174, 174E, 198, 240, 502, 974, NR5","MRS TEO KHIN HIANG NEE LEE WAI TAI","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","MIXED LEVELS","Yes","Yes","No","Yes","Chinese","na","na"
1,"ADMIRALTY PRIMARY SCHOOL","https://admiraltypri.moe.edu.sg/","11   WOODLANDS CIRCLE",738907,63620598,63627512,"ADMIRALTY_PS@MOE.EDU.SG","Admiralty Station","TIBS 965, 964, 913","MR PEK WEE HAUR","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
10,"ANDERSON SERANGOON JUNIOR COLLEGE","www.asrjc.moe.edu.sg","4500 ANG MO KIO AVENUE 6",569843,64596822,64598734,"asrjc@moe.edu.sg","Yio Chu Kang MRT Station","13, 45, 86, 162, 269, 825, 851, 852, 853, 860","MR MANOGARAN S/O SUPPIAH","ANG MO KIO","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","No","Chinese","Malay","Tamil"
95,"EUNOIA JUNIOR COLLEGE","http://www.eunoiajc.moe.edu.sg","2    Sin Ming Place",573838,63518388,63518399,"eunoiajc@moe.edu.sg","Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852","MDM CHEANG MEI HENG","BISHAN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","Yes","Chinese","Malay","Tamil"
142,"JURONG PIONEER JUNIOR COLLEGE","http://jpjc.moe.edu.sg","21   Teck Whye Walk",688258,,,"jpjc@moe.edu.sg","Choa Chu Kang / Bt Panjang / Phoenix Station (LRT)","975, 190, 985","DR HANG KIM HOO","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","No","Chinese","Malay","Tamil"
174,"MILLENNIA INSTITUTE","http://www.millenniainstitute.moe.edu.sg","60   Bukit Batok West Avenue 8",658965,63023700,63023767,"millennia_inst@moe.edu.sg","Bukit Batok (NS 2)","157, 174, 174e, 178, 506, 991, 941, 160M","MRS TAN WAN YU","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","CENTRALISED INSTITUTE","No","No","No","No","Chinese","Malay","Tamil"
184,"NATIONAL JUNIOR COLLEGE","http://www.nationaljc.moe.edu.sg","37   HILLCREST ROAD",288913,64661144,64684535,"NJC@MOE.EDU.SG","BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961, 972","MR ANG POW CHEW","BUKIT TIMAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","MIXED LEVELS","No","No","No","Yes","Chinese","Malay","Tamil"
247,"RULANG PRIMARY SCHOOL","http://www.rulangpri.moe.edu.sg/","6    JURONG WEST STREET 52",649295,65657771,65632382,"RULANG_PS@MOE.EDU.SG","Lakeside","SBS 335","MS TRACY TAN I- LIAN","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","DOUBLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
284,"TAMPINES MERIDIAN JUNIOR COLLEGE","http://www.tmjc.moe.edu.sg","21   Pasir Ris Street 71",518799,63493660,63493667,"tmjc@moe.edu.sg","Pasir Ris MRT Station","3, 39, 53, 81, 89, 109, 358, 518","MISS YOONG NYOK KE PAMELA","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","No","Chinese","Malay","Tamil"
297,"TEMASEK JUNIOR COLLEGE","http://www.temasekjc.moe.edu.sg","22   BEDOK SOUTH ROAD",469278,64428066,64428762,"TEMASEK_JC@MOE.EDU.SG","Bedok MRT","12, 12E, 16, 31, 38, 47, 137, 155, 196, 196A, 197, 229","MDM SIM AY NAR","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","MIXED LEVELS","No","No","No","Yes","Chinese","Malay","Tamil"
304,"VICTORIA JUNIOR COLLEGE","http://www.victoriajc.moe.edu.sg/","20   MARINE VISTA",449035,64485011,64438337,"victoria_jc@moe.edu.sg","Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197","MISS EK SOO BEN","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","Yes","Chinese","Malay","Tamil"
331,"YISHUN INNOVA JUNIOR COLLEGE","https://yijc.moe.edu.sg/","3    YISHUN RING ROAD",768675,62579873,62574373,"yijc@moe.edu.sg","Yishun, Khatib","167, 169, 171, 800, 812,","MR MICHAEL DE SILVA","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","No","Chinese","Malay","Tamil"
50,"CEDAR GIRLS' SECONDARY SCHOOL","http://www.cedargirlssec.moe.edu.sg","1    CEDAR AVENUE",349692,62884909,62820244,"cedargirlss@moe.edu.sg","WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853","MDM TEY KAH HWEE","TOA PAYOH","EAST","GOVERNMENT SCHOOL","GIRLS' SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","Yes","Chinese","Malay","Tamil"
79,"CRESCENT GIRLS' SCHOOL","http://www.crescent.edu.sg","357  TANGLIN ROAD",247961,64758711,64741248,"CRESCENTGIRL@MOE.EDU.SG","REDHILL MRT","32, 111, 122, 132, 51, 139, 186, 970","MRS HELEN CHONG","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","GIRLS' SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
